State,Year,Male Cases,Male Rate,Female Cases,Female Rate,Age 13-24 Cases,Age 13-24 Rate,Age 25-34 Cases,Age 25-34 Rate,Age 35-44 Cases,Age 35-44 Rate,Age 45-54 Cases,Age 45-54 Rate,Age 55+ Cases,Age 55+ Rate,White Cases,White Rate,Black Cases,Black Rate,Hispanic Cases,Hispanic Rate,American Indian/Alaska Native Cases,American Indian/Alaska Native Rate,Asian Cases,Asian Rate,Native Hawaiian/Other Pacific Islander Cases,Native Hawaiian/Other Pacific Islander Rate,Multiple Race Cases,Multiple Race Rate,Heterosexual Contact Total Cases,IDU Total Cases,MSM Cases,Other Transmission Category Total Cases,State Cases,State Rate
Alabama,2008,510,28,219,11,173,22,194,32,168,27,144,22,49,4,152,6,507,51,26,28,1,5,3,8,0,0,39,130,267,58,382,1,729,19
Alaska,2008,30,10,8,3,5,4,10,10,10,11,11,11,2,2,19,5,6,29,1,3,12,15,0,0,0,0,0,0,11,3,21,0,38,7
Arizona,2008,603,23,85,3,112,11,216,23,206,24,117,14,37,3,338,10,67,37,231,16,29,14,11,9,0,0,11,20,94,77,466,1,688,13
Arkansas,2008,189,17,44,4,45,10,71,18,57,15,44,11,16,2,84,5,120,34,17,16,1,6,1,4,0,0,10,42,45,18,159,0,233,10
California,2008,5073,34,739,5,908,14,1718,32,1693,32,1087,21,407,5,1946,14,1155,63,2255,23,21,13,258,7,31,31,146,29,830,440,4189,9,5813,20
Colorado,2008,398,20,60,3,61,8,140,20,126,18,90,12,41,4,235,8,63,41,140,20,3,10,11,11,1,25,6,12,71,23,337,1,459,11
Connecticut,2008,257,18,106,7,54,9,93,23,83,16,88,16,46,5,102,5,136,51,108,34,0,0,10,11,0,0,7,27,138,55,159,1,363,12
Delaware,2008,111,32,50,13,24,17,41,36,53,45,28,22,14,6,36,7,105,72,11,26,0,0,3,15,0,0,6,90,65,19,72,0,161,22
Washington DC,2008,786,332,333,123,152,150,267,249,298,346,277,356,125,92,146,83,858,319,69,172,1,76,6,39,0,0,39,691,385,149,532,1,1119,220
Florida,2008,4363,58,1696,21,857,30,1358,58,1711,69,1415,54,718,14,1628,17,2994,136,1255,40,8,18,32,9,4,46,138,101,2461,424,2992,19,6059,39
Georgia,2008,2352,62,817,20,652,39,802,58,846,58,626,46,242,12,571,12,2261,99,189,35,1,5,14,7,1,27,132,196,959,244,1870,5,3169,41
Hawaii,2008,75,14,11,2,11,5,25,14,20,12,19,11,10,3,31,11,9,34,9,12,0,0,21,5,8,9,7,5,12,3,66,0,86,8
Idaho,2008,44,7,8,1,15,6,16,8,10,5,7,3,4,1,40,4,2,30,8,7,1,7,1,8,0,0,0,0,11,2,33,0,52,4
Illinois,2008,1443,28,470,9,414,19,537,30,462,26,348,19,152,5,442,6,1002,67,338,24,2,11,34,8,1,28,95,113,474,223,1122,10,1914,18
Indiana,2008,373,15,100,4,93,9,127,15,136,16,80,9,37,3,196,4,206,46,47,20,1,8,6,9,0,0,17,41,132,36,288,2,473,9
Iowa,2008,81,7,18,1,15,3,28,8,22,6,23,5,10,1,72,3,11,20,12,14,0,0,1,3,0,0,3,18,19,7,70,0,99,4
Kansas,2008,119,11,23,2,25,5,40,11,37,11,31,8,8,1,70,4,41,32,18,10,1,5,0,0,1,79,11,39,31,11,93,0,142,6
Kentucky,2008,305,18,52,3,74,11,99,17,89,15,69,11,27,3,191,6,127,49,26,36,0,0,2,6,0,0,11,42,63,34,243,0,357,10
Louisiana,2008,721,41,367,19,243,31,317,53,233,41,198,31,97,9,209,9,792,71,64,54,1,5,2,4,2,186,18,70,415,124,517,2,1087,30
Maine,2008,38,7,8,1,6,3,8,5,14,8,7,3,11,3,41,4,4,43,1,8,0,0,0,0,0,0,0,0,6,6,33,1,46,4
Maryland,2008,1468,65,781,32,368,39,500,67,571,69,513,59,296,23,301,11,1677,125,166,58,2,17,14,6,3,133,85,167,947,376,872,6,2249,48
Massachusetts,2008,549,21,218,8,81,7,199,24,213,22,190,19,84,5,305,7,253,81,169,40,1,9,23,9,0,0,16,32,229,127,372,1,767,14
Michigan,2008,615,15,175,4,217,13,197,16,189,14,125,8,62,3,212,3,495,44,44,15,2,4,7,4,0,0,30,33,184,68,507,1,790,10
Minnesota,2008,247,12,87,4,57,7,106,15,87,12,61,8,22,2,170,5,111,64,29,20,6,14,7,5,1,50,9,21,91,19,202,0,333,8
Mississippi,2008,359,31,171,14,154,29,137,35,99,26,105,26,35,5,87,6,399,47,14,28,2,19,0,0,0,0,28,193,175,46,292,1,531,22
Missouri,2008,453,19,102,4,140,14,156,20,140,18,91,10,27,2,236,6,273,51,31,23,0,0,4,6,0,0,10,20,100,28,393,1,555,11
Montana,2008,17,4,5,1,0,0,8,7,6,5,7,5,1,0,17,2,1,27,4,20,0,0,0,0,0,0,0,0,7,2,13,0,22,3
Nebraska,2008,69,10,29,4,12,4,28,13,33,15,18,7,6,1,53,4,34,59,7,7,0,0,0,0,0,0,3,26,36,7,49,1,98,7
Nevada,2008,340,32,64,6,60,15,109,28,118,31,73,20,43,7,175,14,101,65,106,22,3,14,9,6,1,11,9,24,73,32,272,2,403,19
New Hampshire,2008,34,6,10,2,6,3,9,6,10,5,14,6,5,2,25,2,10,94,6,24,0,0,2,11,0,0,1,12,-2,-2,-2,-2,44,4
New Jersey,2008,1084,31,459,12,232,17,395,36,419,33,342,25,155,7,266,6,742,80,427,39,0,0,8,2,0,0,99,163,550,281,662,4,1543,21
New Mexico,2008,136,17,18,2,25,7,40,15,47,19,30,11,11,2,44,6,11,34,79,11,19,14,0,0,0,0,1,6,24,17,98,0,154,10
New York,2008,3689,47,1297,15,875,27,1270,49,1377,50,984,34,480,10,914,9,2186,93,1508,60,4,8,105,10,0,0,268,174,1531,673,2616,8,4986,31
North Carolina,2008,1336,36,462,12,304,20,442,36,495,37,405,31,150,7,436,8,1122,71,154,34,6,7,9,6,1,28,69,115,615,136,996,3,1798,24
North Dakota,2008,12,5,1,0,0,0,2,3,8,11,1,1,2,1,9,2,2,42,0,0,0,0,0,0,0,0,2,45,3,0,9,1,13,2
Ohio,2008,855,19,221,5,234,12,281,19,300,19,199,11,63,2,459,6,506,47,71,32,2,10,6,4,0,0,32,37,282,60,695,4,1076,11
Oklahoma,2008,243,17,50,3,63,10,84,17,80,17,44,9,22,3,150,7,70,32,37,19,14,6,6,12,1,43,15,15,56,32,190,0,293,10
Oregon,2008,242,16,47,3,36,6,100,19,76,15,48,9,29,3,188,7,29,57,52,19,3,8,10,9,1,13,5,9,46,24,199,0,289,9
Pennsylvania,2008,1304,26,521,10,319,16,401,27,489,29,430,22,187,6,467,5,942,90,307,69,1,7,14,6,0,0,95,133,855,252,672,3,1826,17
Rhode Island,2008,79,18,44,10,15,8,29,22,39,27,28,17,11,4,47,7,32,77,40,44,0,0,0,0,0,0,3,34,42,27,49,0,123,14
South Carolina,2008,504,28,211,11,162,22,189,32,167,27,124,19,73,6,153,6,501,49,44,34,2,15,1,2,0,0,13,49,281,54,362,2,715,19
South Dakota,2008,24,7,7,2,2,1,12,12,9,10,6,5,2,1,13,2,8,139,0,0,8,17,1,20,0,0,1,15,12,4,14,0,31,5
Tennessee,2008,725,29,275,10,220,22,288,34,251,29,175,19,67,4,280,7,637,78,53,33,1,7,5,8,0,0,23,58,369,50,564,1,1000,19
Texas,2008,3263,34,944,10,863,20,1270,36,1119,33,681,21,274,6,983,10,1687,76,1350,21,2,3,43,7,2,16,140,87,1197,404,2449,5,4207,22
Utah,2008,109,10,17,2,17,3,42,10,34,11,23,8,9,2,92,5,9,49,23,11,0,0,1,2,1,7,0,0,16,8,79,0,126,6
Vermont,2008,14,5,2,1,1,1,8,12,3,4,2,2,2,1,15,3,1,26,0,0,0,0,0,0,0,0,0,0,2,3,10,0,16,3
Virginia,2008,836,27,273,8,238,18,287,27,278,25,213,19,94,5,265,6,704,57,101,26,0,0,13,4,0,0,26,35,346,67,668,1,1109,17
Washington,2008,446,17,90,3,79,7,156,17,160,18,87,9,53,3,285,7,95,53,97,22,12,16,27,7,0,0,19,16,105,33,357,2,535,10
West Virginia,2008,70,9,14,2,14,5,17,8,30,13,17,6,5,1,60,4,16,32,3,19,0,0,0,0,0,0,5,47,15,11,54,0,84,5
Wisconsin,2008,187,8,53,2,62,6,69,10,57,8,38,4,15,1,93,2,102,40,33,17,1,3,6,7,0,0,6,17,57,17,164,0,241,5
Wyoming,2008,16,7,7,3,4,4,7,10,6,9,4,5,2,2,15,4,4,102,4,14,0,0,0,0,0,0,0,0,7,3,12,0,23,5
Puerto Rico,2008,687,44,279,16,107,16,231,42,284,54,218,43,125,13,1,-9,2,-9,963,-9,0,-9,0,-9,0,-9,0,-9,396,280,254,4,966,30
Alabama,2009,538,29,170,8,200,26,195,31,136,22,118,18,59,5,157,6,497,50,16,16,1,5,3,8,0,0,34,109,208,42,433,1,708,18
Alaska,2009,12,4,9,3,3,2,7,7,6,7,3,3,2,2,6,2,4,20,1,3,6,8,2,7,0,0,2,10,9,3,8,0,21,4
Arizona,2009,572,22,80,3,98,9,188,20,198,23,123,14,45,3,278,9,68,36,247,17,37,18,8,6,3,43,10,17,98,69,441,0,652,12
Arkansas,2009,210,18,52,4,60,13,75,19,81,22,33,8,14,2,95,5,124,35,32,28,0,0,1,4,0,0,10,41,53,20,176,2,263,11
