State,Year,Male,Female,Age 13-24,Age 25-34,Age 35-44,Age 45-54,Age 55+,White,Black,Hispanic,Asian,AmerInd/Alaskan,Hawaiian/Pac Islander,Multiple Race,Heterosexual,MSM,IDU,Other Transmission,Total
Alabama,2008,510,219,173,194,168,144,49,152,507,26,3,1,0,39,267,382,58,1,729
Alaska,2008,30,8,5,10,10,11,2,19,6,1,0,12,0,0,11,21,3,0,38
Arizona,2008,603,85,112,216,206,117,37,338,67,231,11,29,0,11,94,466,77,1,688
Arkansas,2008,189,44,45,71,57,44,16,84,120,17,1,1,0,10,45,159,18,0,233
California,2008,5073,739,908,1718,1693,1087,407,1946,1155,2255,258,21,31,146,830,4189,440,9,5813
Colorado,2008,398,60,61,140,126,90,41,235,63,140,11,3,1,6,71,337,23,1,459
Connecticut,2008,257,106,54,93,83,88,46,102,136,108,10,0,0,7,138,159,55,1,363
Delaware,2008,111,50,24,41,53,28,14,36,105,11,3,0,0,6,65,72,19,0,161
Washington DC,2008,786,333,152,267,298,277,125,146,858,69,6,1,0,39,385,532,149,1,1119
Florida,2008,4363,1696,857,1358,1711,1415,718,1628,2994,1255,32,8,4,138,2461,2992,424,19,6059
Georgia,2008,2352,817,652,802,846,626,242,571,2261,189,14,1,1,132,959,1870,244,5,3169
Hawaii,2008,75,11,11,25,20,19,10,31,9,9,21,0,8,7,12,66,3,0,86
Idaho,2008,44,8,15,16,10,7,4,40,2,8,1,1,0,0,11,33,2,0,52
Illinois,2008,1443,470,414,537,462,348,152,442,1002,338,34,2,1,95,474,1122,223,10,1914
Indiana,2008,373,100,93,127,136,80,37,196,206,47,6,1,0,17,132,288,36,2,473
Iowa,2008,81,18,15,28,22,23,10,72,11,12,1,0,0,3,19,70,7,0,99
Kansas,2008,119,23,25,40,37,31,8,70,41,18,0,1,1,11,31,93,11,0,142
Kentucky,2008,305,52,74,99,89,69,27,191,127,26,2,0,0,11,63,243,34,0,357
Louisiana,2008,721,367,243,317,233,198,97,209,792,64,2,1,2,18,415,517,124,2,1087
Maine,2008,38,8,6,8,14,7,11,41,4,1,0,0,0,0,6,33,6,1,46
Maryland,2008,1468,781,368,500,571,513,296,301,1677,166,14,2,3,85,947,872,376,6,2249
Massachusetts,2008,549,218,81,199,213,190,84,305,253,169,23,1,0,16,229,372,127,1,767
Michigan,2008,615,175,217,197,189,125,62,212,495,44,7,2,0,30,184,507,68,1,790
Minnesota,2008,247,87,57,106,87,61,22,170,111,29,7,6,1,9,91,202,19,0,333
Mississippi,2008,359,171,154,137,99,105,35,87,399,14,0,2,0,28,175,292,46,1,531
Missouri,2008,453,102,140,156,140,91,27,236,273,31,4,0,0,10,100,393,28,1,555
Montana,2008,17,5,0,8,6,7,1,17,1,4,0,0,0,0,7,13,2,0,22
Nebraska,2008,69,29,12,28,33,18,6,53,34,7,0,0,0,3,36,49,7,1,98
Nevada,2008,340,64,60,109,118,73,43,175,101,106,9,3,1,9,73,272,32,2,403
New Hampshire,2008,34,10,6,9,10,14,5,25,10,6,2,0,0,1,-2,-2,-2,-2,44
New Jersey,2008,1084,459,232,395,419,342,155,266,742,427,8,0,0,99,550,662,281,4,1543
New Mexico,2008,136,18,25,40,47,30,11,44,11,79,0,19,0,1,24,98,17,0,154
New York,2008,3689,1297,875,1270,1377,984,480,914,2186,1508,105,4,0,268,1531,2616,673,8,4986
North Carolina,2008,1336,462,304,442,495,405,150,436,1122,154,9,6,1,69,615,996,136,3,1798
North Dakota,2008,12,1,0,2,8,1,2,9,2,0,0,0,0,2,3,9,0,1,13
Ohio,2008,855,221,234,281,300,199,63,459,506,71,6,2,0,32,282,695,60,4,1076
Oklahoma,2008,243,50,63,84,80,44,22,150,70,37,6,14,1,15,56,190,32,0,293
Oregon,2008,242,47,36,100,76,48,29,188,29,52,10,3,1,5,46,199,24,0,289
Pennsylvania,2008,1304,521,319,401,489,430,187,467,942,307,14,1,0,95,855,672,252,3,1826
Rhode Island,2008,79,44,15,29,39,28,11,47,32,40,0,0,0,3,42,49,27,0,123
South Carolina,2008,504,211,162,189,167,124,73,153,501,44,1,2,0,13,281,362,54,2,715
South Dakota,2008,24,7,2,12,9,6,2,13,8,0,1,8,0,1,12,14,4,0,31
Tennessee,2008,725,275,220,288,251,175,67,280,637,53,5,1,0,23,369,564,50,1,1000
Texas,2008,3263,944,863,1270,1119,681,274,983,1687,1350,43,2,2,140,1197,2449,404,5,4207
Utah,2008,109,17,17,42,34,23,9,92,9,23,1,0,1,0,16,79,8,0,126
Vermont,2008,14,2,1,8,3,2,2,15,1,0,0,0,0,0,2,10,3,0,16
Virginia,2008,836,273,238,287,278,213,94,265,704,101,13,0,0,26,346,668,67,1,1109
Washington,2008,446,90,79,156,160,87,53,285,95,97,27,12,0,19,105,357,33,2,535
West Virginia,2008,70,14,14,17,30,17,5,60,16,3,0,0,0,5,15,54,11,0,84
Wisconsin,2008,187,53,62,69,57,38,15,93,102,33,6,1,0,6,57,164,17,0,241
Wyoming,2008,16,7,4,7,6,4,2,15,4,4,0,0,0,0,7,12,3,0,23
Puerto Rico,2008,687,279,107,231,284,218,125,1,2,963,0,0,0,0,396,254,280,4,966
Alabama,2009,538,170,200,195,136,118,59,157,497,16,3,1,0,34,208,433,42,1,708
Alaska,2009,12,9,3,7,6,3,2,6,4,1,2,6,0,2,9,8,3,0,21
Arizona,2009,572,80,98,188,198,123,45,278,68,247,8,37,3,10,98,441,69,0,652
Arkansas,2009,210,52,60,75,81,33,14,95,124,32,1,0,0,10,53,176,20,2,263
California,2009,4867,677,823,1712,1530,1044,436,1886,1073,2151,247,19,30,137,748,4073,372,3,5544
Colorado,2009,333,51,63,130,92,67,32,193,60,115,8,3,1,4,65,275,18,2,384
Connecticut,2009,267,90,60,65,114,84,34,106,152,87,6,0,0,6,126,168,56,1,357
Delaware,2009,115,41,38,31,34,39,13,43,97,14,0,0,0,2,57,71,23,0,157
Washington DC,2009,655,282,133,213,248,229,114,110,731,58,2,2,2,32,363,436,113,0,937
Florida,2009,3866,1390,887,1193,1369,1200,607,1380,2599,1163,27,2,4,81,2134,2655,328,24,5257
Georgia,2009,2265,710,664,804,737,552,218,506,2173,180,10,0,0,108,848,1844,192,6,2976
Hawaii,2009,81,19,15,24,25,25,10,42,12,8,19,0,10,8,20,71,6,0,100
Idaho,2009,45,4,7,15,15,9,3,43,0,5,0,0,0,1,2,37,5,0,50
Illinois,2009,1443,403,435,492,453,335,130,426,961,331,20,6,1,102,445,1158,165,13,1846
Indiana,2009,368,106,115,131,117,71,39,222,190,41,3,0,0,17,122,306,30,1,474
Iowa,2009,102,21,22,37,35,15,13,85,16,7,6,1,0,8,30,75,13,0,123
Kansas,2009,114,39,30,46,35,27,14,63,45,29,4,0,0,13,49,84,10,0,154
Kentucky,2009,284,67,65,100,88,76,22,207,109,22,1,0,0,11,72,234,29,1,351
Louisiana,2009,807,399,278,369,245,226,88,216,901,65,5,5,1,13,471,553,144,2,1206
Maine,2009,40,14,10,13,15,8,8,38,11,2,0,1,0,2,13,31,7,0,55
Maryland,2009,1232,640,345,430,475,445,176,246,1425,105,8,2,1,84,795,793,236,6,1872
Massachusetts,2009,564,174,85,174,211,190,79,285,235,187,16,0,1,14,203,396,107,3,738
Michigan,2009,658,163,226,212,183,139,60,230,521,35,6,0,0,27,186,553,52,2,820
Minnesota,2009,311,77,98,116,87,65,22,191,129,40,7,7,1,12,92,261,14,1,388
