State,Year,Male,Female,Age 13-24,Age 25-34,Age 35-44,Age 45-54,Age 55+,White,Black,Hispanic,Asian,AmerInd/Alaskan,Hawaiian/Pac Islander,Multiple Race,Heterosexual,MSM,IDU,Other Transmission,Total
Alabama,2008,28,11,22,32,27,22,4,6,51,28,8,5,0,130,-1,-1,-1,-1,19
Alaska,2008,10,3,4,10,11,11,2,5,29,3,0,15,0,0,-1,-1,-1,-1,7
Arizona,2008,23,3,11,23,24,14,3,10,37,16,9,14,0,20,-1,-1,-1,-1,13
Arkansas,2008,17,4,10,18,15,11,2,5,34,16,4,6,0,42,-1,-1,-1,-1,10
California,2008,34,5,14,32,32,21,5,14,63,23,7,13,31,29,-1,-1,-1,-1,20
Colorado,2008,20,3,8,20,18,12,4,8,41,20,11,10,25,12,-1,-1,-1,-1,11
Connecticut,2008,18,7,9,23,16,16,5,5,51,34,11,0,0,27,-1,-1,-1,-1,12
Delaware,2008,32,13,17,36,45,22,6,7,72,26,15,0,0,90,-1,-1,-1,-1,22
Washington DC,2008,332,123,150,249,346,356,92,83,319,172,39,76,0,691,-1,-1,-1,-1,220
Florida,2008,58,21,30,58,69,54,14,17,136,40,9,18,46,101,-1,-1,-1,-1,39
Georgia,2008,62,20,39,58,58,46,12,12,99,35,7,5,27,196,-1,-1,-1,-1,41
Hawaii,2008,14,2,5,14,12,11,3,11,34,12,5,0,9,5,-1,-1,-1,-1,8
Idaho,2008,7,1,6,8,5,3,1,4,30,7,8,7,0,0,-1,-1,-1,-1,4
Illinois,2008,28,9,19,30,26,19,5,6,67,24,8,11,28,113,-1,-1,-1,-1,18
Indiana,2008,15,4,9,15,16,9,3,4,46,20,9,8,0,41,-1,-1,-1,-1,9
Iowa,2008,7,1,3,8,6,5,1,3,20,14,3,0,0,18,-1,-1,-1,-1,4
Kansas,2008,11,2,5,11,11,8,1,4,32,10,0,5,79,39,-1,-1,-1,-1,6
Kentucky,2008,18,3,11,17,15,11,3,6,49,36,6,0,0,42,-1,-1,-1,-1,10
Louisiana,2008,41,19,31,53,41,31,9,9,71,54,4,5,186,70,-1,-1,-1,-1,30
Maine,2008,7,1,3,5,8,3,3,4,43,8,0,0,0,0,-1,-1,-1,-1,4
Maryland,2008,65,32,39,67,69,59,23,11,125,58,6,17,133,167,-1,-1,-1,-1,48
Massachusetts,2008,21,8,7,24,22,19,5,7,81,40,9,9,0,32,-1,-1,-1,-1,14
Michigan,2008,15,4,13,16,14,8,3,3,44,15,4,4,0,33,-1,-1,-1,-1,10
Minnesota,2008,12,4,7,15,12,8,2,5,64,20,5,14,50,21,-1,-1,-1,-1,8
Mississippi,2008,31,14,29,35,26,26,5,6,47,28,0,19,0,193,-1,-1,-1,-1,22
Missouri,2008,19,4,14,20,18,10,2,6,51,23,6,0,0,20,-1,-1,-1,-1,11
Montana,2008,4,1,0,7,5,5,0,2,27,20,0,0,0,0,-1,-1,-1,-1,3
Nebraska,2008,10,4,4,13,15,7,1,4,59,7,0,0,0,26,-1,-1,-1,-1,7
Nevada,2008,32,6,15,28,31,20,7,14,65,22,6,14,11,24,-1,-1,-1,-1,19
New Hampshire,2008,6,2,3,6,5,6,2,2,94,24,11,0,0,12,-1,-1,-1,-1,4
New Jersey,2008,31,12,17,36,33,25,7,6,80,39,2,0,0,163,-1,-1,-1,-1,21
New Mexico,2008,17,2,7,15,19,11,2,6,34,11,0,14,0,6,-1,-1,-1,-1,10
New York,2008,47,15,27,49,50,34,10,9,93,60,10,8,0,174,-1,-1,-1,-1,31
North Carolina,2008,36,12,20,36,37,31,7,8,71,34,6,7,28,115,-1,-1,-1,-1,24
North Dakota,2008,5,0,0,3,11,1,1,2,42,0,0,0,0,45,-1,-1,-1,-1,2
Ohio,2008,19,5,12,19,19,11,2,6,47,32,4,10,0,37,-1,-1,-1,-1,11
Oklahoma,2008,17,3,10,17,17,9,3,7,32,19,12,6,43,15,-1,-1,-1,-1,10
Oregon,2008,16,3,6,19,15,9,3,7,57,19,9,8,13,9,-1,-1,-1,-1,9
Pennsylvania,2008,26,10,16,27,29,22,6,5,90,69,6,7,0,133,-1,-1,-1,-1,17
Rhode Island,2008,18,10,8,22,27,17,4,7,77,44,0,0,0,34,-1,-1,-1,-1,14
South Carolina,2008,28,11,22,32,27,19,6,6,49,34,2,15,0,49,-1,-1,-1,-1,19
South Dakota,2008,7,2,1,12,10,5,1,2,139,0,20,17,0,15,-1,-1,-1,-1,5
Tennessee,2008,29,10,22,34,29,19,4,7,78,33,8,7,0,58,-1,-1,-1,-1,19
Texas,2008,34,10,20,36,33,21,6,10,76,21,7,3,16,87,-1,-1,-1,-1,22
Utah,2008,10,2,3,10,11,8,2,5,49,11,2,0,7,0,-1,-1,-1,-1,6
Vermont,2008,5,1,1,12,4,2,1,3,26,0,0,0,0,0,-1,-1,-1,-1,3
Virginia,2008,27,8,18,27,25,19,5,6,57,26,4,0,0,35,-1,-1,-1,-1,17
Washington,2008,17,3,7,17,18,9,3,7,53,22,7,16,0,16,-1,-1,-1,-1,10
West Virginia,2008,9,2,5,8,13,6,1,4,32,19,0,0,0,47,-1,-1,-1,-1,5
Wisconsin,2008,8,2,6,10,8,4,1,2,40,17,7,3,0,17,-1,-1,-1,-1,5
Wyoming,2008,7,3,4,10,9,5,2,4,102,14,0,0,0,0,-1,-1,-1,-1,5
Puerto Rico,2008,44,16,16,42,54,43,13,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,-1,30
Alabama,2009,29,8,26,31,22,18,5,6,50,16,8,5,0,109,-1,-1,-1,-1,18
Alaska,2009,4,3,2,7,7,3,2,2,20,3,7,8,0,10,-1,-1,-1,-1,4
Arizona,2009,22,3,9,20,23,14,3,9,36,17,6,18,43,17,-1,-1,-1,-1,12
Arkansas,2009,18,4,13,19,22,8,2,5,35,28,4,0,0,41,-1,-1,-1,-1,11
California,2009,32,5,13,32,29,20,6,14,58,21,6,12,29,26,-1,-1,-1,-1,18
Colorado,2009,16,3,8,18,13,9,3,6,38,16,8,10,24,8,-1,-1,-1,-1,9
Connecticut,2009,19,6,10,16,23,15,4,5,57,27,6,0,0,22,-1,-1,-1,-1,12
Delaware,2009,33,11,27,27,29,30,6,9,66,32,0,0,0,29,-1,-1,-1,-1,21
Washington DC,2009,273,102,130,189,291,291,84,61,273,138,13,150,582,535,-1,-1,-1,-1,182
Florida,2009,51,17,32,51,56,45,11,14,117,37,8,4,44,57,-1,-1,-1,-1,34
Georgia,2009,59,18,40,58,51,40,11,11,93,32,4,0,0,153,-1,-1,-1,-1,38
Hawaii,2009,15,4,8,13,15,14,3,15,43,10,4,0,11,5,-1,-1,-1,-1,9
Idaho,2009,7,1,3,7,8,4,1,4,0,5,0,0,0,7,-1,-1,-1,-1,4
Illinois,2009,28,7,20,28,26,18,4,6,64,23,4,33,27,116,-1,-1,-1,-1,17
Indiana,2009,14,4,11,16,14,8,3,5,42,17,4,0,0,40,-1,-1,-1,-1,9
Iowa,2009,8,2,4,10,10,3,2,4,28,8,16,13,0,46,-1,-1,-1,-1,5
Kansas,2009,10,3,6,13,10,7,2,3,34,16,8,0,0,45,-1,-1,-1,-1,7
Kentucky,2009,16,4,9,17,15,12,2,7,41,28,3,0,0,41,-1,-1,-1,-1,10
Louisiana,2009,46,21,35,59,44,35,8,9,80,52,10,24,87,48,-1,-1,-1,-1,33
