GEOID,StateAbbrev,State,Year,NewDiagStateRate,NewDiagStateRateStable,NewDiagStateCase,NewDiagMaleRate,NewDiagMaleRateStable,NewDiagMaleCase,NewDiagFemaleRate,NewDiagFemaleRateStable,NewDiagFemaleCase,NewDiagBlackRate,NewDiagBlackRateStable,NewDiagBlackCase,NewDiagWhiteRate,NewDiagWhiteRateStable,NewDiagWhiteCase,NewDiagHispRate,NewDiagHispRateStable,NewDiagHispCase,NewDiagAsianRate,NewDiagAsianRateStable,NewDiagAsianCase,NewDiagAmericanNativeRate,NewDiagAmericanNativeRateStable,NewDiagAmericanNativeCase,NewDiagHawaiianNativeRate,NewDiagHawaiianNativeRateStable,NewDiagHawaiianNativeCase,NewDiagMultipleRaceRate,NewDiagMultipleRaceRateStable,NewDiagMultipleRaceCase,NewDiagAge13_24Rate,NewDiagAge13_24RateStable,NewDiagAge13_24Case,NewDiagAge25_34Rate,NewDiagAge25_34RateStable,NewDiagAge25_34Case,NewDiagAge35_44Rate,NewDiagAge35_44RateStable,NewDiagAge35_44Case,NewDiagAge45_54Rate,NewDiagAge45_54RateStable,NewDiagAge45_54Case,NewDiagAge55plusRate,NewDiagAge55plusStable,NewDiagAge55plusCase
1,AL,Alabama,2008,19,Y,729,28,Y,510,11,Y,219,51,Y,507,6,Y,152,28,Y,26,8,N,3,5,N,1,0,N,0,130,Y,39,22,Y,173,32,Y,194,27,Y,168,22,Y,144,4,Y,49
2,AK,Alaska,2008,7,Y,38,10,Y,30,3,N,8,29,N,6,5,Y,19,3,N,1,0,N,0,15,Y,12,0,N,0,0,N,0,4,N,5,10,N,10,11,N,10,11,N,11,2,N,2
4,AZ,Arizona,2008,13,Y,688,23,Y,603,3,Y,85,37,Y,67,10,Y,338,16,Y,231,9,N,11,14,Y,29,0,N,0,20,N,11,11,Y,112,23,Y,216,24,Y,206,14,Y,117,3,Y,37
5,AR,Arkansas,2008,10,Y,233,17,Y,189,4,Y,44,34,Y,120,5,Y,84,16,Y,17,4,N,1,6,N,1,0,N,0,42,N,10,10,Y,45,18,Y,71,15,Y,57,11,Y,44,2,Y,16
6,CA,California,2008,20,Y,5813,34,Y,5073,5,Y,739,63,Y,1155,14,Y,1946,23,Y,2255,7,Y,258,13,Y,21,31,Y,31,29,Y,146,14,Y,908,32,Y,1718,32,Y,1693,21,Y,1087,5,Y,407
8,CO,Colorado,2008,11,Y,459,20,Y,398,3,Y,60,41,Y,63,8,Y,235,20,Y,140,11,N,11,10,N,3,25,N,1,12,N,6,8,Y,61,20,Y,140,18,Y,126,12,Y,90,4,Y,41
9,CT,Connecticut,2008,12,Y,363,18,Y,257,7,Y,106,51,Y,136,5,Y,102,34,Y,108,11,N,10,0,N,0,0,N,0,27,N,7,9,Y,54,23,Y,93,16,Y,83,16,Y,88,5,Y,46
10,DE,Delaware,2008,22,Y,161,32,Y,111,13,Y,50,72,Y,105,7,Y,36,26,N,11,15,N,3,0,N,0,0,N,0,90,N,6,17,Y,24,36,Y,41,45,Y,53,22,Y,28,6,Y,14
11,DC,Washington DC,2008,220,Y,1119,332,Y,786,123,Y,333,319,Y,858,83,Y,146,172,Y,69,39,N,6,76,N,1,0,N,0,691,Y,39,150,Y,152,249,Y,267,346,Y,298,356,Y,277,92,Y,125
12,FL,Florida,2008,39,Y,6059,58,Y,4363,21,Y,1696,136,Y,2994,17,Y,1628,40,Y,1255,9,Y,32,18,N,8,46,N,4,101,Y,138,30,Y,857,58,Y,1358,69,Y,1711,54,Y,1415,14,Y,718
13,GA,Georgia,2008,41,Y,3169,62,Y,2352,20,Y,817,99,Y,2261,12,Y,571,35,Y,189,7,Y,14,5,N,1,27,N,1,196,Y,132,39,Y,652,58,Y,802,58,Y,846,46,Y,626,12,Y,242
15,HI,Hawaii,2008,8,Y,86,14,Y,75,2,N,11,34,N,9,11,Y,31,12,N,9,5,Y,21,0,N,0,9,N,8,5,N,7,5,N,11,14,Y,25,12,Y,20,11,Y,19,3,N,10
16,ID,Idaho,2008,4,Y,52,7,Y,44,1,N,8,30,N,2,4,Y,40,7,N,8,8,N,1,7,N,1,0,N,0,0,N,0,6,Y,15,8,Y,16,5,N,10,3,N,7,1,N,4
17,IL,Illinois,2008,18,Y,1914,28,Y,1443,9,Y,470,67,Y,1002,6,Y,442,24,Y,338,8,Y,34,11,N,2,28,N,1,113,Y,95,19,Y,414,30,Y,537,26,Y,462,19,Y,348,5,Y,152
18,IN,Indiana,2008,9,Y,473,15,Y,373,4,Y,100,46,Y,206,4,Y,196,20,Y,47,9,N,6,8,N,1,0,N,0,41,Y,17,9,Y,93,15,Y,127,16,Y,136,9,Y,80,3,Y,37
19,IA,Iowa,2008,4,Y,99,7,Y,81,1,Y,18,20,N,11,3,Y,72,14,Y,12,3,N,1,0,N,0,0,N,0,18,N,3,3,Y,15,8,Y,28,6,Y,22,5,Y,23,1,N,10
20,KS,Kansas,2008,6,Y,142,11,Y,119,2,Y,23,32,Y,41,4,Y,70,10,Y,18,0,N,0,5,N,1,79,N,1,39,N,11,5,Y,25,11,Y,40,11,Y,37,8,Y,31,1,N,8
21,KY,Kentucky,2008,10,Y,357,18,Y,305,3,Y,52,49,Y,127,6,Y,191,36,Y,26,6,N,2,0,N,0,0,N,0,42,N,11,11,Y,74,17,Y,99,15,Y,89,11,Y,69,3,Y,27
22,LA,Louisiana,2008,30,Y,1087,41,Y,721,19,Y,367,71,Y,792,9,Y,209,54,Y,64,4,N,2,5,N,1,186,N,2,70,Y,18,31,Y,243,53,Y,317,41,Y,233,31,Y,198,9,Y,97
23,ME,Maine,2008,4,Y,46,7,Y,38,1,N,8,43,N,4,4,Y,41,8,N,1,0,N,0,0,N,0,0,N,0,0,N,0,3,N,6,5,N,8,8,Y,14,3,N,7,3,N,11
24,MD,Maryland,2008,48,Y,2249,65,Y,1468,32,Y,781,125,Y,1677,11,Y,301,58,Y,166,6,Y,14,17,N,2,133,N,3,167,Y,85,39,Y,368,67,Y,500,69,Y,571,59,Y,513,23,Y,296
25,MA,Massachusetts,2008,14,Y,767,21,Y,549,8,Y,218,81,Y,253,7,Y,305,40,Y,169,9,Y,23,9,N,1,0,N,0,32,Y,16,7,Y,81,24,Y,199,22,Y,213,19,Y,190,5,Y,84
26,MI,Michigan,2008,10,Y,790,15,Y,615,4,Y,175,44,Y,495,3,Y,212,15,Y,44,4,N,7,4,N,2,0,N,0,33,Y,30,13,Y,217,16,Y,197,14,Y,189,8,Y,125,3,Y,62
27,MN,Minnesota,2008,8,Y,333,12,Y,247,4,Y,87,64,Y,111,5,Y,170,20,Y,29,5,N,7,14,N,6,50,N,1,21,N,9,7,Y,57,15,Y,106,12,Y,87,8,Y,61,2,Y,22
