Affinity Category (reach),Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Movie Lovers,424,72.88%,309,58.25%,4.83,0:04:09,0.00%,0,$0.00
Technophiles,378,68.78%,260,56.35%,4.87,0:03:57,0.00%,0,$0.00
Home Decor Enthusiasts,372,78.49%,292,59.14%,4.94,0:03:19,0.00%,0,$0.00
Shutterbugs,363,72.73%,264,61.43%,4.37,0:03:00,0.00%,0,$0.00
Shoppers/Shopaholics,360,76.94%,277,59.44%,4.99,0:03:31,0.00%,0,$0.00
TV Lovers,357,75.07%,268,58.82%,5.01,0:03:50,0.00%,0,$0.00
Travel Buffs,326,72.39%,236,57.06%,5.39,0:03:47,0.00%,0,$0.00
News Junkies/Entertainment & Celebrity News Junkies,320,74.06%,237,60.31%,3.79,0:02:47,0.00%,0,$0.00
Cooking Enthusiasts/Aspiring Chefs,314,80.25%,252,61.46%,4.52,0:02:43,0.00%,0,$0.00
Music Lovers/Pop Music Fans,303,69.97%,212,61.06%,3.67,0:02:47,0.00%,0,$0.00
Beauty Mavens,302,76.49%,231,63.91%,3.45,0:02:42,0.00%,0,$0.00
Family-Focused,271,70.11%,190,61.25%,4.81,0:02:57,0.00%,0,$0.00
Social Media Enthusiasts,253,76.68%,194,62.45%,4.65,0:02:50,0.00%,0,$0.00
Comics & Animation Fans,242,67.36%,163,61.57%,3.74,0:02:43,0.00%,0,$0.00
Cooking Enthusiasts,236,72.03%,170,63.14%,5,0:03:12,0.00%,0,$0.00
Sports Fans,228,78.51%,179,59.21%,4.2,0:02:56,0.00%,0,$0.00
Health & Fitness Buffs,224,78.12%,175,62.50%,4.06,0:02:44,0.00%,0,$0.00
Mobile Enthusiasts,209,66.51%,139,56.94%,4.46,0:03:27,0.00%,0,$0.00
Music Lovers/World Music Fans,200,64.50%,129,60.00%,3.26,0:03:16,0.00%,0,$0.00
Music Lovers,182,79.12%,144,60.44%,5.65,0:03:47,0.00%,0,$0.00
Pet Lovers,179,74.86%,134,55.87%,7,0:04:41,0.00%,0,$0.00
News Junkies,177,71.75%,127,62.71%,5.49,0:03:14,0.00%,0,$0.00
Fashionistas,173,80.92%,140,60.12%,4.94,0:03:33,0.00%,0,$0.00
Music Lovers/Rap & Hip Hop Fans,173,65.90%,114,60.69%,3.36,0:02:24,0.00%,0,$0.00
