Affinity Category (reach),Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Home Decor Enthusiasts,443,76.30%,338,56.88%,3.34,0:02:09,0.00%,0,$0.00
Shoppers/Shopaholics,441,71.20%,314,58.96%,3.35,0:02:16,0.00%,0,$0.00
Shutterbugs,434,71.89%,312,61.29%,3.07,0:02:22,0.00%,0,$0.00
Movie Lovers,433,72.98%,316,57.04%,3.57,0:02:16,0.00%,0,$0.00
Technophiles,423,73.05%,309,55.08%,3.59,0:02:34,0.00%,0,$0.00
News Junkies/Entertainment & Celebrity News Junkies,399,73.43%,293,56.89%,3.4,0:02:29,0.00%,0,$0.00
Cooking Enthusiasts/Aspiring Chefs,395,75.19%,297,57.72%,3.04,0:01:57,0.00%,0,$0.00
TV Lovers,389,71.21%,277,60.15%,3.42,0:02:24,0.00%,0,$0.00
Beauty Mavens,365,73.70%,269,62.19%,3,0:01:58,0.00%,0,$0.00
Travel Buffs,360,72.78%,262,57.50%,2.94,0:02:10,0.00%,0,$0.00
Music Lovers/Pop Music Fans,336,72.02%,242,57.44%,3.47,0:02:49,0.00%,0,$0.00
Family-Focused,317,71.92%,228,55.52%,3.39,0:02:35,0.00%,0,$0.00
Cooking Enthusiasts,299,72.58%,217,58.19%,3.28,0:02:33,0.00%,0,$0.00
Health & Fitness Buffs,297,82.15%,244,55.89%,3.42,0:01:59,0.00%,0,$0.00
Social Media Enthusiasts,297,73.06%,217,61.62%,2.98,0:01:49,0.00%,0,$0.00
Mobile Enthusiasts,276,68.48%,189,59.06%,3.5,0:02:50,0.00%,0,$0.00
Comics & Animation Fans,272,72.43%,197,55.51%,3.54,0:02:37,0.00%,0,$0.00
Sports Fans,261,76.25%,199,57.47%,3.03,0:01:53,0.00%,0,$0.00
Art & Theater Aficionados,252,71.43%,180,55.56%,3.24,0:02:21,0.00%,0,$0.00
Fashionistas,244,68.85%,168,59.43%,2.91,0:01:41,0.00%,0,$0.00
Foodies,230,72.17%,166,61.30%,2.67,0:01:46,0.00%,0,$0.00
Music Lovers/World Music Fans,229,69.43%,159,58.52%,2.86,0:02:46,0.00%,0,$0.00
Pet Lovers,229,74.67%,171,56.77%,3.32,0:01:43,0.00%,0,$0.00
Shoppers/Luxury Shoppers,226,65.93%,149,61.06%,3.03,0:02:13,0.00%,0,$0.00
Music Lovers,217,74.19%,161,64.52%,3.39,0:01:48,0.00%,0,$0.00
"TV Lovers/Game, Reality & Talk Show Fans",207,78.26%,162,55.56%,3.07,0:02:11,0.00%,0,$0.00
News Junkies/Political News Junkies,195,76.41%,149,58.97%,3.06,0:01:50,0.00%,0,$0.00
Sports Fans/Soccer Fans,194,63.40%,123,59.28%,3.17,0:02:24,0.00%,0,$0.00
Business Professionals,193,59.59%,115,56.48%,3.14,0:02:51,0.00%,0,$0.00
TV Lovers/TV Drama Fans,187,78.07%,146,52.41%,3.39,0:02:34,0.00%,0,$0.00
Music Lovers/Rap & Hip Hop Fans,186,69.89%,130,52.69%,3.66,0:03:32,0.00%,0,$0.00
News Junkies,186,74.19%,138,52.69%,3.95,0:02:43,0.00%,0,$0.00
Gamers/Hardcore Gamers,175,66.29%,116,57.71%,3.27,0:02:39,0.00%,0,$0.00
Gamers,173,67.05%,116,53.76%,3.39,0:02:54,0.00%,0,$0.00
Outdoor Enthusiasts,172,81.40%,140,55.81%,3.78,0:02:11,0.00%,0,$0.00
Avid Investors,171,80.12%,137,57.31%,3.32,0:02:24,0.00%,0,$0.00
Music Lovers/Rock Music Fans,168,71.43%,120,51.79%,3.52,0:03:21,0.00%,0,$0.00
Auto Enthusiasts,164,76.83%,126,51.83%,3.8,0:02:23,0.00%,0,$0.00
Do-It-Yourselfers,157,75.80%,119,58.60%,3.37,0:02:02,0.00%,0,$0.00
Gamers/Casual & Social Gamers,141,65.25%,92,54.61%,3.38,0:03:27,0.00%,0,$0.00
Music Lovers/Electronica & Dance Music Fans,141,65.25%,92,51.06%,3.41,0:03:42,0.00%,0,$0.00
Green Living Enthusiasts,136,86.03%,117,52.21%,2.88,0:02:08,0.00%,0,$0.00
Movie Lovers/Action & Adventure Movie Fans,131,77.10%,101,54.96%,3.32,0:02:35,0.00%,0,$0.00
Travel Buffs/Beachbound Travelers,127,81.89%,104,62.20%,3.32,0:01:43,0.00%,0,$0.00
Cooking Enthusiasts/30 Minute Chefs,117,83.76%,98,48.72%,3.22,0:01:51,0.00%,0,$0.00
TV Lovers/TV Comedy Fans,116,71.55%,83,50.86%,3.7,0:02:48,0.00%,0,$0.00
Movie Lovers/Sci-Fi & Fantasy Movie Fans,115,76.52%,88,58.26%,3.46,0:02:45,0.00%,0,$0.00
Pet Lovers/Dog Lovers,109,90.83%,99,61.47%,3.16,0:02:27,0.00%,0,$0.00
Shoppers/Bargain Hunters,102,68.63%,70,50.98%,3.05,0:02:20,0.00%,0,$0.00
Movie Lovers/Family Movie Fans,99,81.82%,81,46.46%,4.33,0:03:07,0.00%,0,$0.00
Music Lovers/Indie & Alternative Rock Fans,99,81.82%,81,46.46%,4.54,0:03:28,0.00%,0,$0.00
Pet Lovers/Cat Lovers,95,57.89%,55,62.11%,2.88,0:02:15,0.00%,0,$0.00
News Junkies/Business & Economic News Junkies,94,78.72%,74,54.26%,3.17,0:01:57,0.00%,0,$0.00
Music Lovers/Spanish-Language Music Fans,91,90.11%,82,52.75%,4.13,0:03:33,0.00%,0,$0.00
Nightlife Enthusiasts,91,86.81%,79,54.95%,5.04,0:02:40,0.00%,0,$0.00
Travel Buffs/Luxury Travelers,77,74.03%,57,58.44%,3.88,0:02:21,0.00%,0,$0.00
Gamers/Roleplaying Game Fans,76,56.58%,43,60.53%,2.68,0:03:15,0.00%,0,$0.00
TV Lovers/Sci-Fi & Fantasy TV Fans,75,78.67%,59,58.67%,2.48,0:02:20,0.00%,0,$0.00
Movie Lovers/Romance & Drama Movie Fans,65,83.08%,54,50.77%,3.98,0:02:41,0.00%,0,$0.00
Movie Lovers/Comedy Movie Fans,62,72.58%,45,56.45%,3.76,0:02:52,0.00%,0,$0.00
Music Lovers/Metalheads,62,54.84%,34,59.68%,2.81,0:03:09,0.00%,0,$0.00
News Junkies/World News Junkies,61,40.98%,25,62.30%,2.49,0:03:39,0.00%,0,$0.00
Travel Buffs/Family Vacationers,61,80.33%,49,45.90%,3.52,0:01:49,0.00%,0,$0.00
Sports Fans/Basketball Fans,58,79.31%,46,67.24%,1.9,0:01:33,0.00%,0,$0.00
Auto Enthusiasts/Performance & Luxury Vehicle Enthusiasts,54,79.63%,43,55.56%,3.17,0:03:18,0.00%,0,$0.00
Sports Fans/American Football Fans,54,61.11%,33,51.85%,3.5,0:02:34,0.00%,0,$0.00
Music Lovers/Classical Music Enthusiasts,53,73.58%,39,45.28%,4.94,0:03:43,0.00%,0,$0.00
News Junkies/Local News Junkies,52,86.54%,45,51.92%,3.06,0:01:53,0.00%,0,$0.00
Sports Fans/Fight & Wrestling Fans,50,76.00%,38,64.00%,3.3,0:02:41,0.00%,0,$0.00
Movie Lovers/South Asian Film Fans,49,75.51%,37,61.22%,2,0:01:22,0.00%,0,$0.00
Shoppers/Value Shoppers,49,75.51%,37,57.14%,4.29,0:02:21,0.00%,0,$0.00
Gamers/Shooter Game Fans,48,91.67%,44,62.50%,3.15,0:02:22,0.00%,0,$0.00
Gamers/Adventure & Strategy Game Fans,47,87.23%,41,55.32%,2.85,0:01:47,0.00%,0,$0.00
Fast Food Cravers,43,69.77%,30,53.49%,2.72,0:01:17,0.00%,0,$0.00
Auto Enthusiasts/Motorcycle Enthusiasts,39,94.87%,37,69.23%,3.59,0:02:09,0.00%,0,$0.00
Music Lovers/Country Music Fans,38,92.11%,35,55.26%,4.11,0:01:48,0.00%,0,$0.00
TV Lovers/Family Television Fans,38,71.05%,27,60.53%,3.63,0:02:02,0.00%,0,$0.00
Movie Lovers/Horror Movie Fans,36,86.11%,31,63.89%,3.89,0:03:53,0.00%,0,$0.00
Travel Buffs/Snowbound Travelers,36,83.33%,30,44.44%,4.19,0:01:54,0.00%,0,$0.00
Thrill Seekers,34,85.29%,29,47.06%,4.79,0:03:18,0.00%,0,$0.00
Music Lovers/Folk & Traditional Music Enthusiasts,33,81.82%,27,54.55%,4.64,0:01:36,0.00%,0,$0.00
Gamers/Action Game Fans,31,87.10%,27,51.61%,2.87,0:02:27,0.00%,0,$0.00
Sports Fans/Baseball Fans,31,74.19%,23,64.52%,2.45,0:02:23,0.00%,0,$0.00
Sports Fans/Cycling Enthusiasts,31,90.32%,28,64.52%,2.55,0:01:17,0.00%,0,$0.00
Sports Fans/Running Enthusiasts,30,83.33%,25,60.00%,4.53,0:02:13,0.00%,0,$0.00
Sports Fans/Winter Sports Enthusiasts,30,80.00%,24,60.00%,3.2,0:01:01,0.00%,0,$0.00
Auto Enthusiasts/Truck & SUV Enthusiasts,29,65.52%,19,65.52%,2.97,0:01:24,0.00%,0,$0.00
News Junkies/Women's Media Fans,26,80.77%,21,73.08%,3.19,0:01:26,0.00%,0,$0.00
Sports Fans/Water Sports Enthusiasts,25,72.00%,18,64.00%,3.56,0:01:29,0.00%,0,$0.00
Sports Fans/Boating & Sailing Enthusiasts,22,59.09%,13,45.45%,3.68,0:04:04,0.00%,0,$0.00
Sports Fans/Golf Enthusiasts,20,85.00%,17,70.00%,2.7,0:00:56,0.00%,0,$0.00
Sports Fans/Skiing Enthusiasts,19,84.21%,16,52.63%,4,0:01:01,0.00%,0,$0.00
Sports Fans/Racquetball Enthusiasts,16,68.75%,11,56.25%,2.81,0:02:19,0.00%,0,$0.00
Gamers/Sports Game Fans,14,57.14%,8,57.14%,3.36,0:06:43,0.00%,0,$0.00
Sports Fans/Tennis Enthusiasts,13,61.54%,8,46.15%,3.23,0:02:51,0.00%,0,$0.00
Music Lovers/Jazz Enthusiasts,12,83.33%,10,66.67%,4,0:01:57,0.00%,0,$0.00
Sports Fans/Motor Sports Enthusiasts,11,81.82%,9,18.18%,5.55,0:04:08,0.00%,0,$0.00
