In-Market Segment,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Travel/Hotels & Accommodations,203,78.33%,159,60.10%,3.19,0:02:24,0.00%,0,$0.00
Dating Services,157,67.52%,106,60.51%,5.16,0:03:18,0.00%,0,$0.00
Employment,153,69.28%,106,62.75%,5.38,0:03:55,0.00%,0,$0.00
Home & Garden/Home Decor,144,82.64%,119,57.64%,5.63,0:02:37,0.00%,0,$0.00
Beauty Products & Services,127,62.99%,80,63.78%,3.26,0:02:51,0.00%,0,$0.00
Gifts & Occasions/Gift Baskets,127,68.50%,87,64.57%,5.69,0:03:14,0.00%,0,$0.00
Travel/Air Travel,113,80.53%,91,61.06%,3.8,0:01:58,0.00%,0,$0.00
Home & Garden/Home & Garden Services/Landscape Design,110,74.55%,82,56.36%,4.79,0:03:44,0.00%,0,$0.00
Apparel & Accessories/Women's Apparel,109,83.49%,91,57.80%,3.91,0:03:23,0.00%,0,$0.00
Consumer Electronics/Mobile Phones,109,76.15%,83,53.21%,5.76,0:03:57,0.00%,0,$0.00
Education/Post-Secondary Education,108,82.41%,89,60.19%,4.77,0:03:41,0.00%,0,$0.00
Gifts & Occasions/Wedding Planning,100,71.00%,71,60.00%,6.61,0:04:27,0.00%,0,$0.00
Software/Business & Productivity Software,100,73.00%,73,60.00%,6.71,0:04:29,0.00%,0,$0.00
Beauty Products & Services/Makeup & Cosmetics,99,60.61%,60,60.61%,2.32,0:01:53,0.00%,0,$0.00
Home & Garden/Home Furnishings,96,82.29%,79,51.04%,7.39,0:04:24,0.00%,0,$0.00
Apparel & Accessories,82,86.59%,71,57.32%,3.63,0:03:36,0.00%,0,$0.00
Financial Services/Investment Services,81,81.48%,66,62.96%,4.02,0:03:04,0.00%,0,$0.00
Education/Foreign Language Study,78,64.10%,50,61.54%,3.83,0:03:59,0.00%,0,$0.00
Gifts & Occasions/Holiday & Seasonal Items,78,75.64%,59,64.10%,7.82,0:04:19,0.00%,0,$0.00
Business Services/Advertising & Marketing Services,77,57.14%,44,64.94%,1.99,0:01:59,0.00%,0,$0.00
Real Estate/Residential Properties,77,83.12%,64,55.84%,5.01,0:03:10,0.00%,0,$0.00
Beauty Products & Services/Hair Care Products,69,82.61%,57,66.67%,3.16,0:02:20,0.00%,0,$0.00
Gifts & Occasions/Party Supplies & Planning/Party Supplies,69,78.26%,54,56.52%,8.41,0:04:05,0.00%,0,$0.00
Business Services/Business Technology/Web Services/Web Design & Development,67,50.75%,34,68.66%,1.64,0:01:53,0.00%,0,$0.00
Apparel & Accessories/Jewelry & Watches/Fine Jewelry,64,73.44%,47,51.56%,7.27,0:05:56,0.00%,0,$0.00
Home & Garden/Home & Garden Services,64,89.06%,57,67.19%,2.53,0:01:36,0.00%,0,$0.00
Employment/Career Consulting Services,63,74.60%,47,65.08%,2.56,0:02:07,0.00%,0,$0.00
Education/Primary & Secondary Schools (K-12),61,85.25%,52,59.02%,4.66,0:02:43,0.00%,0,$0.00
Gifts & Occasions/Flowers,61,50.82%,31,49.18%,8.3,0:04:20,0.00%,0,$0.00
Telecom/Mobile Phone Service Providers,59,54.24%,32,66.10%,4.42,0:05:03,0.00%,0,$0.00
Apparel & Accessories/Shoes,58,75.86%,44,55.17%,5.38,0:03:57,0.00%,0,$0.00
Home & Garden/Home Furnishings/Living Room,57,50.88%,29,52.63%,4.42,0:04:49,0.00%,0,$0.00
Real Estate/Residential Properties/Residential Properties (For Sale),52,75.00%,39,59.62%,5.31,0:02:58,0.00%,0,$0.00
Apparel & Accessories/Handbags,46,76.09%,35,52.17%,5.93,0:04:08,0.00%,0,$0.00
Software/Design Software/Drawing & Animation Software,46,52.17%,24,58.70%,9.3,0:05:30,0.00%,0,$0.00
Travel/Trips by Destination/Trips to North America,45,68.89%,31,40.00%,3.93,0:01:50,0.00%,0,$0.00
Education/Test Preparation & Tutoring,44,63.64%,28,77.27%,2.89,0:02:26,0.00%,0,$0.00
Home & Garden/Home & Garden Services/Home Cleaning Services,44,86.36%,38,68.18%,1.93,0:00:24,0.00%,0,$0.00
Real Estate/Residential Properties/Residential Properties (For Sale)/Houses (For Sale)/Preowned Houses (For Sale),42,78.57%,33,57.14%,5.71,0:03:25,0.00%,0,$0.00
Financial Services/Tax Services,41,63.41%,26,58.54%,3.59,0:02:48,0.00%,0,$0.00
Gifts & Occasions/Holiday & Seasonal Items/Valentine's Day Items & Decor,41,70.73%,29,60.98%,10.12,0:03:41,0.00%,0,$0.00
Home & Garden/Home & Garden Services/Interior Design & Decorating Services,40,87.50%,35,75.00%,1.85,0:01:01,0.00%,0,$0.00
Travel/Bus & Rail Travel,40,72.50%,29,62.50%,3.08,0:04:25,0.00%,0,$0.00
Baby & Children's Products/Diapers & Baby Hygiene Products,39,71.79%,28,56.41%,6.72,0:04:40,0.00%,0,$0.00
Home & Garden/Home Appliances,39,71.79%,28,53.85%,7.46,0:08:21,0.00%,0,$0.00
Software/Design Software/Photo Software,39,56.41%,22,56.41%,2.36,0:02:59,0.00%,0,$0.00
Financial Services/Banking Services,38,84.21%,32,68.42%,3.68,0:02:40,0.00%,0,$0.00
Travel/Trips by Destination/Trips to Europe,38,94.74%,36,55.26%,2.47,0:02:41,0.00%,0,$0.00
Home & Garden/Home Decor/Lights & Fixtures,37,86.49%,32,48.65%,5.19,0:05:20,0.00%,0,$0.00
Apparel & Accessories/Shoes/Athletic Shoes,36,72.22%,26,50.00%,4.22,0:01:55,0.00%,0,$0.00
Business Services/Office Supplies,35,68.57%,24,57.14%,4.14,0:03:11,0.00%,0,$0.00
Computers & Peripherals/Computers/Laptops & Notebooks,33,84.85%,28,63.64%,4.09,0:03:31,0.00%,0,$0.00
Home & Garden/Home Furnishings/Home Storage & Shelving,33,96.97%,32,63.64%,3.79,0:02:13,0.00%,0,$0.00
Business Services/Business Financial Services,32,68.75%,22,62.50%,2.66,0:01:16,0.00%,0,$0.00
Apparel & Accessories/Lingerie,31,74.19%,23,58.06%,3.45,0:02:14,0.00%,0,$0.00
