In-Market Segment,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Travel/Hotels & Accommodations,202,79.21%,160,55.45%,3.15,0:02:03,0.00%,0,$0.00
Home & Garden/Home Decor,172,75.00%,129,58.14%,3.29,0:01:51,0.00%,0,$0.00
Gifts & Occasions/Gift Baskets,159,59.75%,95,58.49%,3.47,0:02:54,0.00%,0,$0.00
Dating Services,153,61.44%,94,54.25%,3.13,0:02:35,0.00%,0,$0.00
Employment,135,73.33%,99,51.11%,3.61,0:02:56,0.00%,0,$0.00
Education/Post-Secondary Education,134,80.60%,108,50.00%,3.16,0:02:46,0.00%,0,$0.00
Apparel & Accessories/Women's Apparel,132,73.48%,97,61.36%,3.07,0:01:36,0.00%,0,$0.00
Gifts & Occasions/Wedding Planning,128,74.22%,95,60.94%,2.48,0:01:43,0.00%,0,$0.00
Home & Garden/Home & Garden Services/Landscape Design,127,77.17%,98,62.99%,2.9,0:01:11,0.00%,0,$0.00
Home & Garden/Home Furnishings,126,71.43%,90,64.29%,3.23,0:01:45,0.00%,0,$0.00
Beauty Products & Services,122,67.21%,82,52.46%,3.4,0:02:11,0.00%,0,$0.00
Software/Business & Productivity Software,116,64.66%,75,48.28%,2.84,0:03:35,0.00%,0,$0.00
Consumer Electronics/Mobile Phones,110,76.36%,84,56.36%,3.81,0:02:24,0.00%,0,$0.00
Travel/Air Travel,104,84.62%,88,54.81%,3.68,0:01:58,0.00%,0,$0.00
Apparel & Accessories,100,70.00%,70,56.00%,3.18,0:02:09,0.00%,0,$0.00
Financial Services/Investment Services,98,76.53%,75,55.10%,3.12,0:02:41,0.00%,0,$0.00
Beauty Products & Services/Makeup & Cosmetics,93,66.67%,62,51.61%,4.1,0:03:56,0.00%,0,$0.00
Real Estate/Residential Properties,92,77.17%,71,44.57%,4.3,0:02:51,0.00%,0,$0.00
Beauty Products & Services/Hair Care Products,91,73.63%,67,63.74%,2.96,0:01:42,0.00%,0,$0.00
Home & Garden/Home & Garden Services,91,84.62%,77,59.34%,3.58,0:01:49,0.00%,0,$0.00
Gifts & Occasions/Holiday & Seasonal Items,88,75.00%,66,64.77%,2.74,0:01:54,0.00%,0,$0.00
Gifts & Occasions/Holiday & Seasonal Items/Valentine's Day Items & Decor,86,50.00%,43,58.14%,2.62,0:02:50,0.00%,0,$0.00
Business Services/Advertising & Marketing Services,83,46.99%,39,53.01%,2.54,0:03:17,0.00%,0,$0.00
Education/Test Preparation & Tutoring,82,53.66%,44,52.44%,2.88,0:03:53,0.00%,0,$0.00
Gifts & Occasions/Party Supplies & Planning/Party Supplies,82,78.05%,64,57.32%,3.94,0:02:25,0.00%,0,$0.00
Education/Primary & Secondary Schools (K-12),78,74.36%,58,57.69%,2.9,0:01:56,0.00%,0,$0.00
Education/Foreign Language Study,77,61.04%,47,57.14%,2.66,0:03:51,0.00%,0,$0.00
Apparel & Accessories/Jewelry & Watches/Fine Jewelry,72,76.39%,55,62.50%,3.03,0:01:37,0.00%,0,$0.00
Telecom/Mobile Phone Service Providers,70,42.86%,30,58.57%,3.24,0:03:37,0.00%,0,$0.00
Employment/Career Consulting Services,69,65.22%,45,42.03%,3.65,0:02:25,0.00%,0,$0.00
Real Estate/Residential Properties/Residential Properties (For Sale),64,76.56%,49,54.69%,2.77,0:01:51,0.00%,0,$0.00
Gifts & Occasions/Flowers,63,52.38%,33,49.21%,3.9,0:04:35,0.00%,0,$0.00
Software/Design Software/Photo Software,63,46.03%,29,63.49%,2.03,0:02:56,0.00%,0,$0.00
Apparel & Accessories/Shoes,59,93.22%,55,57.63%,3.46,0:02:04,0.00%,0,$0.00
Home & Garden/Home Furnishings/Living Room,59,49.15%,29,54.24%,3.93,0:03:35,0.00%,0,$0.00
Real Estate/Residential Properties/Residential Properties (For Sale)/Houses (For Sale)/Preowned Houses (For Sale),57,73.68%,42,54.39%,2.72,0:01:52,0.00%,0,$0.00
