In-Market Segment,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Travel/Hotels & Accommodations,220,78.18%,172,54.55%,3.77,0:02:23,0.00%,0,$0.00
Dating Services,186,60.75%,113,55.91%,3.58,0:03:12,0.00%,0,$0.00
Home & Garden/Home Decor,162,77.16%,125,53.09%,3.88,0:03:03,0.00%,0,$0.00
Gifts & Occasions/Gift Baskets,156,62.82%,98,51.28%,3.46,0:04:28,0.00%,0,$0.00
Apparel & Accessories/Women's Apparel,137,75.91%,104,56.20%,3.61,0:02:14,0.00%,0,$0.00
Beauty Products & Services,135,67.41%,91,53.33%,3.2,0:04:20,0.00%,0,$0.00
Home & Garden/Home Furnishings,131,77.86%,102,57.25%,3.31,0:02:02,0.00%,0,$0.00
Employment,129,83.72%,108,58.91%,3.5,0:02:10,0.00%,0,$0.00
Gifts & Occasions/Wedding Planning,128,70.31%,90,67.19%,2.95,0:02:33,0.00%,0,$0.00
Education/Post-Secondary Education,120,80.83%,97,58.33%,4.04,0:02:11,0.00%,0,$0.00
Beauty Products & Services/Makeup & Cosmetics,113,62.83%,71,50.44%,3.23,0:05:05,0.00%,0,$0.00
Travel/Air Travel,112,83.04%,93,56.25%,4.69,0:02:44,0.00%,0,$0.00
Gifts & Occasions/Holiday & Seasonal Items,111,72.97%,81,53.15%,3.72,0:03:41,0.00%,0,$0.00
Consumer Electronics/Mobile Phones,110,79.09%,87,60.91%,4.35,0:02:40,0.00%,0,$0.00
Beauty Products & Services/Hair Care Products,105,77.14%,81,60.00%,3.19,0:02:04,0.00%,0,$0.00
Home & Garden/Home & Garden Services/Landscape Design,104,76.92%,80,64.42%,3.13,0:01:57,0.00%,0,$0.00
Software/Business & Productivity Software,102,65.69%,67,45.10%,4.17,0:04:50,0.00%,0,$0.00
Gifts & Occasions/Party Supplies & Planning/Party Supplies,98,75.51%,74,57.14%,3.53,0:03:42,0.00%,0,$0.00
Home & Garden/Home & Garden Services,96,79.17%,76,64.58%,3.43,0:02:10,0.00%,0,$0.00
Apparel & Accessories,93,79.57%,74,59.14%,3.39,0:02:01,0.00%,0,$0.00
Employment/Career Consulting Services,92,65.22%,60,45.65%,4.33,0:03:23,0.00%,0,$0.00
Education/Primary & Secondary Schools (K-12),90,86.67%,78,54.44%,4.17,0:02:14,0.00%,0,$0.00
Business Services/Advertising & Marketing Services,87,56.32%,49,50.57%,3.1,0:04:27,0.00%,0,$0.00
Real Estate/Residential Properties,85,78.82%,67,62.35%,3.6,0:01:51,0.00%,0,$0.00
Apparel & Accessories/Jewelry & Watches/Fine Jewelry,82,78.05%,64,52.44%,4.07,0:02:59,0.00%,0,$0.00
Gifts & Occasions/Flowers,79,49.37%,39,49.37%,3.59,0:05:57,0.00%,0,$0.00
Telecom/Mobile Phone Service Providers,79,56.96%,45,53.16%,3.9,0:05:00,0.00%,0,$0.00
Financial Services/Investment Services,77,77.92%,60,61.04%,3.39,0:02:09,0.00%,0,$0.00
Apparel & Accessories/Shoes,75,84.00%,63,57.33%,3.44,0:01:31,0.00%,0,$0.00
Gifts & Occasions/Holiday & Seasonal Items/Valentine's Day Items & Decor,75,46.67%,35,48.00%,3.6,0:05:45,0.00%,0,$0.00
Home & Garden/Home Decor/Lights & Fixtures,73,79.45%,58,56.16%,4.53,0:03:30,0.00%,0,$0.00
Business Services/Business Technology/Web Services/Web Design & Development,70,47.14%,33,45.71%,4.13,0:06:34,0.00%,0,$0.00
Education/Test Preparation & Tutoring,70,57.14%,40,48.57%,3.71,0:05:40,0.00%,0,$0.00
Education/Foreign Language Study,69,63.77%,44,46.38%,3.41,0:04:51,0.00%,0,$0.00
Home & Garden/Home Furnishings/Living Room,65,66.15%,43,53.85%,2.46,0:04:38,0.00%,0,$0.00
Real Estate/Residential Properties/Residential Properties (For Sale),65,78.46%,51,72.31%,2.91,0:01:00,0.00%,0,$0.00
Software/Design Software/Drawing & Animation Software,63,50.79%,32,34.92%,4.63,0:06:03,0.00%,0,$0.00
Travel/Trips by Destination/Trips to Europe,57,84.21%,48,50.88%,4.26,0:02:36,0.00%,0,$0.00
Real Estate/Residential Properties/Residential Properties (For Sale)/Houses (For Sale)/Preowned Houses (For Sale),55,74.55%,41,72.73%,2.91,0:00:56,0.00%,0,$0.00
Software/Design Software/Photo Software,55,60.00%,33,36.36%,5.29,0:06:49,0.00%,0,$0.00
Home & Garden/Home Furnishings/Home Storage & Shelving,53,77.36%,41,62.26%,3.25,0:02:07,0.00%,0,$0.00
Home & Garden/Home & Garden Services/Interior Design & Decorating Services,51,88.24%,45,66.67%,2.49,0:01:18,0.00%,0,$0.00
Event Tickets/Concert & Music Festival Tickets,49,81.63%,40,65.31%,2.8,0:01:27,0.00%,0,$0.00
Apparel & Accessories/Shoes/Athletic Shoes,45,73.33%,33,66.67%,2.62,0:01:43,0.00%,0,$0.00
Financial Services/Tax Services,43,74.42%,32,62.79%,3.33,0:02:00,0.00%,0,$0.00
Autos & Vehicles/Motor Vehicles/Motor Vehicles (Used),41,73.17%,30,80.49%,2.34,0:01:36,0.00%,0,$0.00
Home & Garden/Home Improvement,40,90.00%,36,62.50%,3.65,0:02:48,0.00%,0,$0.00
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,39,69.23%,27,61.54%,2.13,0:01:42,0.00%,0,$0.00
Home & Garden/Home & Garden Services/Home Cleaning Services,39,92.31%,36,76.92%,1.56,0:01:23,0.00%,0,$0.00
Home & Garden/Home Improvement/Flooring,39,43.59%,17,48.72%,4.15,0:06:18,0.00%,0,$0.00
Apparel & Accessories/Handbags,38,78.95%,30,63.16%,3.87,0:02:55,0.00%,0,$0.00
Financial Services/Banking Services,38,76.32%,29,55.26%,4.39,0:03:39,0.00%,0,$0.00
Travel/Trips by Destination/Trips to North America,38,84.21%,32,55.26%,3.26,0:02:01,0.00%,0,$0.00
Apparel & Accessories/Jewelry & Watches/Watches,37,37.84%,14,62.16%,4.3,0:05:17,0.00%,0,$0.00
Home & Garden/Home Furnishings/Bedroom,36,63.89%,23,47.22%,4.72,0:04:08,0.00%,0,$0.00
Home & Garden/Home Furnishings/Home Office,36,47.22%,17,41.67%,4.47,0:04:35,0.00%,0,$0.00
Computers & Peripherals/Computers/Laptops & Notebooks,35,91.43%,32,65.71%,8.83,0:02:05,0.00%,0,$0.00
Home & Garden/Home Improvement/Tools,35,82.86%,29,57.14%,3.46,0:02:21,0.00%,0,$0.00
Baby & Children's Products/Diapers & Baby Hygiene Products,34,91.18%,31,70.59%,4.21,0:02:36,0.00%,0,$0.00
Baby & Children's Products/Toys & Games,34,79.41%,27,70.59%,2.79,0:01:18,0.00%,0,$0.00
Business Services/Business Financial Services,34,50.00%,17,55.88%,9.82,0:04:48,0.00%,0,$0.00
Consumer Electronics/Cameras,34,67.65%,23,64.71%,2.26,0:01:34,0.00%,0,$0.00
Travel/Bus & Rail Travel,34,73.53%,25,55.88%,3.44,0:01:10,0.00%,0,$0.00
Apparel & Accessories/Outerwear,30,80.00%,24,53.33%,3.6,0:01:24,0.00%,0,$0.00
Gifts & Occasions,30,80.00%,24,53.33%,3.1,0:04:21,0.00%,0,$0.00
Gifts & Occasions/Holiday & Seasonal Items/Halloween Items & Decor,30,60.00%,18,63.33%,2.8,0:02:41,0.00%,0,$0.00
Home & Garden/Home Appliances,30,83.33%,25,56.67%,3.73,0:03:25,0.00%,0,$0.00
Telecom/Internet Service Providers,30,46.67%,14,40.00%,3.63,0:07:08,0.00%,0,$0.00
Apparel & Accessories/Men's Apparel,29,72.41%,21,44.83%,3.24,0:01:49,0.00%,0,$0.00
Travel/Trips by Destination/Trips to Asia-Pacific,29,93.10%,27,51.72%,5.31,0:03:31,0.00%,0,$0.00
Baby & Children's Products/Baby & Children's Apparel/Children's Apparel,28,82.14%,23,60.71%,4.32,0:02:11,0.00%,0,$0.00
Beauty Products & Services/Skin Care Products,28,89.29%,25,64.29%,2.86,0:02:12,0.00%,0,$0.00
Employment/Resumes & Portfolios,28,85.71%,24,64.29%,3.64,0:01:58,0.00%,0,$0.00
Real Estate/Residential Properties/Residential Properties (For Rent),28,96.43%,27,53.57%,3.96,0:02:30,0.00%,0,$0.00
Consumer Electronics/Audio,27,85.19%,23,77.78%,2.33,0:02:03,0.00%,0,$0.00
Business Services/Office Supplies,26,80.77%,21,34.62%,3.08,0:03:21,0.00%,0,$0.00
Home & Garden/Home & Garden Services/Architectural Services,26,76.92%,20,42.31%,4.92,0:04:02,0.00%,0,$0.00
Home & Garden/Home Decor/Rugs & Carpets,26,76.92%,20,69.23%,3.65,0:01:55,0.00%,0,$0.00
