Other Category,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Arts & Entertainment/TV & Video/Online Video,162,69.75%,113,53.70%,4.23,0:04:12,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/Pop Music,143,58.04%,83,63.64%,2.44,0:02:10,0.00%,0,$0.00
Arts & Entertainment/Celebrities & Entertainment News,135,78.52%,106,57.78%,4.47,0:03:16,0.00%,0,$0.00
Reference/General Reference/Dictionaries & Encyclopedias,102,74.51%,76,57.84%,4.32,0:02:54,0.00%,0,$0.00
Food & Drink/Cooking & Recipes,85,84.71%,72,57.65%,4.68,0:03:14,0.00%,0,$0.00
Food & Drink/Food/Baked Goods,72,91.67%,66,56.94%,3.58,0:02:02,0.00%,0,$0.00
News/Weather,64,76.56%,49,59.38%,6.2,0:03:55,0.00%,0,$0.00
Hobbies & Leisure/Crafts/Fiber & Textile Arts,62,90.32%,56,66.13%,3.76,0:02:18,0.00%,0,$0.00
Home & Garden/Home & Interior Decor,62,83.87%,52,59.68%,3.44,0:01:23,0.00%,0,$0.00
Hobbies & Leisure/Crafts,61,81.97%,50,65.57%,8.64,0:03:40,0.00%,0,$0.00
Beauty & Fitness/Hair Care,60,76.67%,46,73.33%,2.23,0:01:28,0.00%,0,$0.00
Internet & Telecom/Email & Messaging,58,68.97%,40,60.34%,2.83,0:01:53,0.00%,0,$0.00
Travel/Air Travel,53,83.02%,44,52.83%,4.04,0:02:01,0.00%,0,$0.00
Home & Garden/Gardening & Landscaping,52,86.54%,45,57.69%,3.77,0:02:44,0.00%,0,$0.00
Shopping/Gifts & Special Event Items/Cards & Greetings,49,63.27%,31,81.63%,1.76,0:00:34,0.00%,0,$0.00
Beauty & Fitness/Face & Body Care/Skin & Nail Care,48,72.92%,35,64.58%,3.71,0:02:35,0.00%,0,$0.00
Food & Drink/Cooking & Recipes/Desserts,46,91.30%,42,58.70%,4.35,0:02:43,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/World Music,45,22.22%,10,53.33%,3.91,0:04:09,0.00%,0,$0.00
Online Communities/Social Networks,44,75.00%,33,72.73%,1.66,0:00:49,0.00%,0,$0.00
Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics,43,81.40%,35,69.77%,3.7,0:01:05,0.00%,0,$0.00
Arts & Entertainment/Humor/Funny Pictures & Videos,42,71.43%,30,57.14%,2.26,0:01:57,0.00%,0,$0.00
Shopping/Classifieds,42,59.52%,25,45.24%,15.4,0:11:08,0.00%,0,$0.00
Online Communities/Photo & Video Sharing/Photo & Image Sharing,40,52.50%,21,67.50%,2.08,0:01:33,0.00%,0,$0.00
"Reference/General Reference/How-To, DIY & Expert Content",40,90.00%,36,72.50%,2.82,0:01:07,0.00%,0,$0.00
Sports/Team Sports/Soccer,40,50.00%,20,55.00%,4.28,0:05:06,0.00%,0,$0.00
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,39,71.79%,28,48.72%,5.26,0:05:30,0.00%,0,$0.00
Shopping/Gifts & Special Event Items/Gifts,39,87.18%,34,74.36%,2.15,0:01:12,0.00%,0,$0.00
Travel/Hotels & Accommodations,39,82.05%,32,58.97%,3.62,0:02:39,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/Music Reference/Song Lyrics & Tabs,38,52.63%,20,63.16%,4.13,0:02:06,0.00%,0,$0.00
Internet & Telecom/Web Services/Web Design & Development,38,34.21%,13,65.79%,2.47,0:02:25,0.00%,0,$0.00
Arts & Entertainment/Comics & Animation/Anime & Manga,37,40.54%,15,51.35%,3,0:03:39,0.00%,0,$0.00
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,36,72.22%,26,50.00%,6.19,0:05:21,0.00%,0,$0.00
Jobs & Education/Jobs/Job Listings,35,74.29%,26,48.57%,12.26,0:07:54,0.00%,0,$0.00
Computers & Electronics/Software/Multimedia Software/Desktop Publishing/Fonts,33,57.58%,19,75.76%,1.7,0:02:01,0.00%,0,$0.00
Beauty & Fitness/Fashion & Style,31,80.65%,25,74.19%,1.61,0:00:36,0.00%,0,$0.00
News/Sports News,31,25.81%,8,51.61%,2.61,0:02:44,0.00%,0,$0.00
Pets & Animals/Pets/Cats,30,60.00%,18,60.00%,3.3,0:01:57,0.00%,0,$0.00
Pets & Animals/Pets/Dogs,30,80.00%,24,73.33%,2.73,0:03:24,0.00%,0,$0.00
Food & Drink/Food/Fruits & Vegetables,29,79.31%,23,58.62%,6.28,0:05:03,0.00%,0,$0.00
Reference/Language Resources/Foreign Language Resources/Translation Tools & Resources,29,79.31%,23,58.62%,3.79,0:02:39,0.00%,0,$0.00
