Other Category,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Arts & Entertainment/TV & Video/Online Video,214,62.15%,133,56.54%,3.23,0:03:11,0.00%,0,$0.00
Arts & Entertainment/Celebrities & Entertainment News,185,68.11%,126,60.00%,2.9,0:01:51,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/Pop Music,135,59.26%,80,53.33%,3.24,0:03:51,0.00%,0,$0.00
Food & Drink/Cooking & Recipes,99,76.77%,76,59.60%,2.92,0:01:44,0.00%,0,$0.00
Food & Drink/Food/Baked Goods,95,77.89%,74,57.89%,2.41,0:01:17,0.00%,0,$0.00
Reference/General Reference/Dictionaries & Encyclopedias,92,73.91%,68,60.87%,2.51,0:01:47,0.00%,0,$0.00
Home & Garden/Home & Interior Decor,77,90.91%,70,62.34%,2.82,0:01:14,0.00%,0,$0.00
Beauty & Fitness/Hair Care,75,77.33%,58,65.33%,3.39,0:01:28,0.00%,0,$0.00
Hobbies & Leisure/Crafts,72,88.89%,64,75.00%,2.47,0:01:59,0.00%,0,$0.00
Hobbies & Leisure/Crafts/Fiber & Textile Arts,71,71.83%,51,67.61%,2.87,0:01:15,0.00%,0,$0.00
"Reference/General Reference/How-To, DIY & Expert Content",69,76.81%,53,62.32%,3.58,0:01:32,0.00%,0,$0.00
Home & Garden/Gardening & Landscaping,66,80.30%,53,62.12%,2.32,0:02:02,0.00%,0,$0.00
Sports/Team Sports/Soccer,62,58.06%,36,58.06%,3.18,0:03:39,0.00%,0,$0.00
Beauty & Fitness/Face & Body Care/Skin & Nail Care,61,68.85%,42,57.38%,3.1,0:02:01,0.00%,0,$0.00
News/Weather,58,89.66%,52,62.07%,4.05,0:01:41,0.00%,0,$0.00
Arts & Entertainment/Comics & Animation/Anime & Manga,54,46.30%,25,50.00%,3.3,0:04:13,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/World Music,54,27.78%,15,46.30%,3.61,0:04:43,0.00%,0,$0.00
Food & Drink/Cooking & Recipes/Desserts,54,83.33%,45,59.26%,2.56,0:01:09,0.00%,0,$0.00
Internet & Telecom/Email & Messaging,52,90.38%,47,50.00%,5.13,0:03:20,0.00%,0,$0.00
Shopping/Gifts & Special Event Items/Gifts,47,72.34%,34,78.72%,2.11,0:00:30,0.00%,0,$0.00
Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics,46,89.13%,41,63.04%,2.93,0:02:29,0.00%,0,$0.00
Hobbies & Leisure/Special Occasions/Weddings,45,55.56%,25,57.78%,2.93,0:01:32,0.00%,0,$0.00
Online Communities/Social Networks,45,64.44%,29,57.78%,3.87,0:02:29,0.00%,0,$0.00
Jobs & Education/Jobs/Job Listings,44,75.00%,33,38.64%,3.95,0:03:15,0.00%,0,$0.00
Arts & Entertainment/Humor/Funny Pictures & Videos,43,60.47%,26,55.81%,3.09,0:02:02,0.00%,0,$0.00
Shopping/Gifts & Special Event Items/Cards & Greetings,43,60.47%,26,48.84%,3.51,0:03:54,0.00%,0,$0.00
Travel/Air Travel,43,83.72%,36,55.81%,3.79,0:02:08,0.00%,0,$0.00
Shopping/Classifieds,38,94.74%,36,44.74%,6.18,0:04:38,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/Music Reference/Song Lyrics & Tabs,37,78.38%,29,62.16%,4.76,0:02:33,0.00%,0,$0.00
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,37,70.27%,26,45.95%,3.95,0:02:19,0.00%,0,$0.00
Beauty & Fitness/Fashion & Style,37,59.46%,22,70.27%,3.49,0:00:52,0.00%,0,$0.00
Online Communities/Photo & Video Sharing/Photo & Image Sharing,37,54.05%,20,78.38%,3.92,0:01:23,0.00%,0,$0.00
Computers & Electronics/Software/Multimedia Software/Desktop Publishing/Fonts,34,47.06%,16,70.59%,2.88,0:02:44,0.00%,0,$0.00
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,34,85.29%,29,73.53%,1.71,0:00:53,0.00%,0,$0.00
Pets & Animals/Pets/Dogs,34,97.06%,33,70.59%,3.71,0:03:16,0.00%,0,$0.00
Real Estate/Real Estate Listings/Residential Sales,34,67.65%,23,55.88%,3.18,0:02:00,0.00%,0,$0.00
Business & Industrial/Business Services/Office Supplies,33,66.67%,22,45.45%,2.42,0:01:58,0.00%,0,$0.00
Computers & Electronics/Software/Multimedia Software/Photo & Video Software/Photo Software,33,69.70%,23,54.55%,2.97,0:01:52,0.00%,0,$0.00
Home & Garden/Home Storage & Shelving,32,78.12%,25,62.50%,2.44,0:01:02,0.00%,0,$0.00
Travel/Hotels & Accommodations,32,87.50%,28,59.38%,3.44,0:01:16,0.00%,0,$0.00
Arts & Entertainment/Events & Listings/Movie Listings & Theater Showtimes,29,65.52%,19,62.07%,2.59,0:01:11,0.00%,0,$0.00
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Reality Shows,29,72.41%,21,68.97%,2.31,0:00:41,0.00%,0,$0.00
Jobs & Education/Education/Colleges & Universities,29,79.31%,23,65.52%,2,0:01:08,0.00%,0,$0.00
News/Politics,27,62.96%,17,59.26%,3.22,0:02:17,0.00%,0,$0.00
Reference/Language Resources/Foreign Language Resources/Translation Tools & Resources,26,80.77%,21,46.15%,4.77,0:02:45,0.00%,0,$0.00
Travel/Travel Agencies & Services,26,96.15%,25,53.85%,3.77,0:01:46,0.00%,0,$0.00
Shopping/Gifts & Special Event Items/Party & Holiday Supplies,25,80.00%,20,56.00%,4.28,0:02:27,0.00%,0,$0.00
Arts & Entertainment/Visual Art & Design/Painting,24,66.67%,16,58.33%,2.62,0:01:34,0.00%,0,$0.00
Books & Literature/E-Books,24,66.67%,16,66.67%,3.21,0:01:57,0.00%,0,$0.00
Food & Drink/Food/Fruits & Vegetables,24,100.00%,24,62.50%,3.42,0:01:43,0.00%,0,$0.00
Online Communities/Online Goodies/Clip Art & Animated GIFs,23,78.26%,18,56.52%,4.09,0:01:18,0.00%,0,$0.00
People & Society/Family & Relationships/Romance,23,86.96%,20,56.52%,2.96,0:01:32,0.00%,0,$0.00
Shopping/Auctions,23,91.30%,21,60.87%,4.52,0:02:07,0.00%,0,$0.00
Arts & Entertainment/Visual Art & Design,21,76.19%,16,52.38%,3.33,0:04:38,0.00%,0,$0.00
Jobs & Education/Education/Primary & Secondary Schooling (K-12),21,80.95%,17,42.86%,3.95,0:03:29,0.00%,0,$0.00
Shopping/Antiques & Collectibles,21,71.43%,15,42.86%,3.71,0:03:47,0.00%,0,$0.00
Shopping/Apparel/Clothing Accessories/Gems & Jewelry,21,85.71%,18,57.14%,5,0:01:36,0.00%,0,$0.00
Arts & Entertainment/Comics & Animation/Comics,20,85.00%,17,40.00%,3.65,0:03:48,0.00%,0,$0.00
Beauty & Fitness/Fashion & Style/Fashion Designers & Collections,20,65.00%,13,85.00%,2.1,0:00:43,0.00%,0,$0.00
Internet & Telecom/Service Providers/Phone Service Providers,20,45.00%,9,75.00%,2.4,0:01:17,0.00%,0,$0.00
Pets & Animals/Pets/Cats,20,55.00%,11,65.00%,2.45,0:03:56,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/Urban & Hip-Hop/Rap & Hip-Hop,19,68.42%,13,57.89%,2.95,0:02:35,0.00%,0,$0.00
Beauty & Fitness/Face & Body Care/Hygiene & Toiletries,19,94.74%,18,52.63%,4.16,0:00:56,0.00%,0,$0.00
Books & Literature,19,84.21%,16,47.37%,3.26,0:02:23,0.00%,0,$0.00
News/Sports News,19,68.42%,13,63.16%,3.26,0:01:27,0.00%,0,$0.00
Reference/General Reference/Time & Calendars,19,84.21%,16,47.37%,5,0:03:52,0.00%,0,$0.00
Arts & Entertainment/Fun & Trivia/Fun Tests & Silly Surveys,18,100.00%,18,55.56%,2.44,0:01:15,0.00%,0,$0.00
Arts & Entertainment/Movies/Bollywood & South Asian Film,18,83.33%,15,66.67%,1.56,0:01:28,0.00%,0,$0.00
Books & Literature/Poetry,18,72.22%,13,61.11%,2.11,0:00:20,0.00%,0,$0.00
Computers & Electronics/Software/Business & Productivity Software,18,94.44%,17,61.11%,2.28,0:01:54,0.00%,0,$0.00
Games/Online Games,18,100.00%,18,50.00%,3,0:03:50,0.00%,0,$0.00
News/Politics/Campaigns & Elections,18,72.22%,13,72.22%,2,0:00:20,0.00%,0,$0.00
Arts & Entertainment/Humor,17,94.12%,16,52.94%,2.59,0:02:50,0.00%,0,$0.00
