Other Category,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Arts & Entertainment/TV & Video/Online Video,182,75.27%,137,59.89%,3.69,0:03:14,0.00%,0,$0.00
Arts & Entertainment/Celebrities & Entertainment News,176,78.41%,138,65.34%,3.12,0:01:46,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/Pop Music,161,57.14%,92,60.87%,3.22,0:03:36,0.00%,0,$0.00
Reference/General Reference/Dictionaries & Encyclopedias,94,75.53%,71,51.06%,4.49,0:03:13,0.00%,0,$0.00
Food & Drink/Food/Baked Goods,91,87.91%,80,72.53%,2.36,0:01:24,0.00%,0,$0.00
Home & Garden/Home & Interior Decor,86,90.70%,78,62.79%,2.8,0:01:39,0.00%,0,$0.00
Food & Drink/Cooking & Recipes,82,90.24%,74,64.63%,2.76,0:01:21,0.00%,0,$0.00
Beauty & Fitness/Hair Care,81,80.25%,65,62.96%,3.09,0:02:39,0.00%,0,$0.00
Hobbies & Leisure/Crafts,69,71.01%,49,59.42%,5.77,0:02:16,0.00%,0,$0.00
News/Weather,69,79.71%,55,57.97%,3.32,0:01:36,0.00%,0,$0.00
Hobbies & Leisure/Crafts/Fiber & Textile Arts,65,92.31%,60,73.85%,2.23,0:00:59,0.00%,0,$0.00
"Reference/General Reference/How-To, DIY & Expert Content",62,91.94%,57,64.52%,2.87,0:01:33,0.00%,0,$0.00
Internet & Telecom/Email & Messaging,59,81.36%,48,54.24%,6.46,0:02:33,0.00%,0,$0.00
Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics,58,86.21%,50,60.34%,2.41,0:01:40,0.00%,0,$0.00
Food & Drink/Cooking & Recipes/Desserts,56,85.71%,48,78.57%,1.68,0:01:28,0.00%,0,$0.00
Travel/Air Travel,54,87.04%,47,59.26%,3.52,0:01:24,0.00%,0,$0.00
Beauty & Fitness/Face & Body Care/Skin & Nail Care,53,94.34%,50,66.04%,2.06,0:01:55,0.00%,0,$0.00
Hobbies & Leisure/Special Occasions/Weddings,50,54.00%,27,70.00%,2.76,0:02:59,0.00%,0,$0.00
Sports/Team Sports/Soccer,50,52.00%,26,46.00%,4.06,0:07:13,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/World Music,49,24.49%,12,42.86%,3.33,0:07:35,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/Music Reference/Song Lyrics & Tabs,48,66.67%,32,64.58%,3.81,0:02:00,0.00%,0,$0.00
Shopping/Gifts & Special Event Items/Gifts,48,62.50%,30,62.50%,2.23,0:01:59,0.00%,0,$0.00
Arts & Entertainment/Comics & Animation/Anime & Manga,44,50.00%,22,31.82%,4.59,0:07:13,0.00%,0,$0.00
Pets & Animals/Pets/Dogs,44,88.64%,39,61.36%,3.18,0:01:03,0.00%,0,$0.00
Shopping/Gifts & Special Event Items/Cards & Greetings,44,56.82%,25,54.55%,3.48,0:04:19,0.00%,0,$0.00
Online Communities/Social Networks,43,65.12%,28,58.14%,3.07,0:03:21,0.00%,0,$0.00
Shopping/Apparel/Clothing Accessories/Gems & Jewelry,41,80.49%,33,68.29%,2.88,0:01:15,0.00%,0,$0.00
Beauty & Fitness/Fashion & Style,39,66.67%,26,76.92%,2.41,0:00:50,0.00%,0,$0.00
Travel/Hotels & Accommodations,39,79.49%,31,53.85%,3.44,0:02:43,0.00%,0,$0.00
Online Communities/Photo & Video Sharing/Photo & Image Sharing,38,57.89%,22,47.37%,4.21,0:04:50,0.00%,0,$0.00
Shopping/Classifieds,37,70.27%,26,67.57%,3.03,0:01:30,0.00%,0,$0.00
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,36,80.56%,29,52.78%,9.94,0:02:42,0.00%,0,$0.00
Arts & Entertainment/Humor/Funny Pictures & Videos,35,80.00%,28,68.57%,3.83,0:01:56,0.00%,0,$0.00
Jobs & Education/Education/Colleges & Universities,35,94.29%,33,68.57%,2.71,0:01:53,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/Music Videos,34,47.06%,16,82.35%,2.21,0:00:33,0.00%,0,$0.00
Travel/Travel Agencies & Services,34,94.12%,32,58.82%,4.65,0:01:25,0.00%,0,$0.00
Home & Garden/Gardening & Landscaping,33,75.76%,25,57.58%,2.88,0:03:03,0.00%,0,$0.00
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,33,87.88%,29,69.70%,3.48,0:02:32,0.00%,0,$0.00
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Reality Shows,31,87.10%,27,61.29%,2.94,0:00:53,0.00%,0,$0.00
Home & Garden/Home Storage & Shelving,31,74.19%,23,58.06%,2.71,0:02:08,0.00%,0,$0.00
Jobs & Education/Jobs/Job Listings,31,83.87%,26,58.06%,2.74,0:00:57,0.00%,0,$0.00
Computers & Electronics/Software/Multimedia Software/Photo & Video Software/Photo Software,30,83.33%,25,43.33%,6.33,0:03:44,0.00%,0,$0.00
Pets & Animals/Pets/Cats,30,43.33%,13,53.33%,4.4,0:05:24,0.00%,0,$0.00
Real Estate/Real Estate Listings/Residential Sales,30,73.33%,22,76.67%,3.6,0:01:18,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/World Music/East Asian Music,29,79.31%,23,65.52%,2.86,0:03:09,0.00%,0,$0.00
Computers & Electronics/Software/Multimedia Software/Desktop Publishing/Fonts,29,37.93%,11,62.07%,2.48,0:01:18,0.00%,0,$0.00
News/Sports News,28,67.86%,19,50.00%,3.79,0:04:13,0.00%,0,$0.00
Arts & Entertainment/Fun & Trivia/Fun Tests & Silly Surveys,27,92.59%,25,62.96%,4.44,0:04:04,0.00%,0,$0.00
Food & Drink/Food/Fruits & Vegetables,27,92.59%,25,74.07%,3.56,0:01:09,0.00%,0,$0.00
Science/Mathematics,27,100.00%,27,59.26%,4.89,0:03:27,0.00%,0,$0.00
Shopping/Consumer Resources/Coupons & Discount Offers,27,77.78%,21,59.26%,2.15,0:01:18,0.00%,0,$0.00
Shopping/Gifts & Special Event Items/Party & Holiday Supplies,27,77.78%,21,51.85%,2.89,0:03:58,0.00%,0,$0.00
Shopping/Apparel/Women's Clothing,26,84.62%,22,53.85%,3.77,0:02:52,0.00%,0,$0.00
Shopping/Auctions,26,73.08%,19,42.31%,5.77,0:04:56,0.00%,0,$0.00
Arts & Entertainment/Visual Art & Design,25,72.00%,18,56.00%,3.2,0:02:16,0.00%,0,$0.00
Computers & Electronics/Software/Multimedia Software/Graphics & Animation Software,25,36.00%,9,20.00%,4.08,0:08:53,0.00%,0,$0.00
Games/Online Games,25,84.00%,21,60.00%,3.64,0:03:06,0.00%,0,$0.00
Business & Industrial/Business Services/Office Supplies,24,79.17%,19,41.67%,3.62,0:02:40,0.00%,0,$0.00
News/Politics,24,75.00%,18,54.17%,2.83,0:00:40,0.00%,0,$0.00
People & Society/Family & Relationships/Romance,24,95.83%,23,62.50%,3.58,0:00:56,0.00%,0,$0.00
Arts & Entertainment/Comics & Animation/Comics,23,82.61%,19,73.91%,3.26,0:01:00,0.00%,0,$0.00
Online Communities/Online Goodies/Clip Art & Animated GIFs,23,73.91%,17,47.83%,3.91,0:01:37,0.00%,0,$0.00
Beauty & Fitness/Body Art,22,95.45%,21,59.09%,2.95,0:02:49,0.00%,0,$0.00
Arts & Entertainment/Events & Listings/Movie Listings & Theater Showtimes,21,71.43%,15,66.67%,2.48,0:02:13,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/Rock Music/Indie & Alternative Music,21,47.62%,10,85.71%,1.57,0:00:11,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/Urban & Hip-Hop/Rap & Hip-Hop,21,76.19%,16,76.19%,2.29,0:00:24,0.00%,0,$0.00
Internet & Telecom/Service Providers/Phone Service Providers,21,52.38%,11,71.43%,5.24,0:04:03,0.00%,0,$0.00
Jobs & Education/Education/Primary & Secondary Schooling (K-12),21,80.95%,17,66.67%,2.19,0:00:29,0.00%,0,$0.00
Reference/General Reference/Time & Calendars,21,100.00%,21,71.43%,2.62,0:00:47,0.00%,0,$0.00
Shopping/Apparel/Footwear,21,71.43%,15,52.38%,5.1,0:02:35,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/Radio,19,89.47%,17,52.63%,5.32,0:02:26,0.00%,0,$0.00
Books & Literature/E-Books,19,94.74%,18,57.89%,5.68,0:03:21,0.00%,0,$0.00
Computers & Electronics/Software/Business & Productivity Software,19,63.16%,12,42.11%,4.58,0:04:39,0.00%,0,$0.00
Internet & Telecom/Web Portals,19,63.16%,12,57.89%,3.84,0:02:30,0.00%,0,$0.00
Shopping/Antiques & Collectibles,19,63.16%,12,52.63%,4.05,0:04:24,0.00%,0,$0.00
Shopping/Apparel/Footwear/Athletic Shoes,19,78.95%,15,57.89%,3.16,0:03:10,0.00%,0,$0.00
Sports/Team Sports/Basketball,19,73.68%,14,57.89%,3.26,0:00:49,0.00%,0,$0.00
Games/Roleplaying Games,18,94.44%,17,61.11%,5,0:02:00,0.00%,0,$0.00
Home & Garden/Home Furnishings/Lamps & Lighting,18,77.78%,14,50.00%,4.06,0:03:14,0.00%,0,$0.00
Internet & Telecom/Web Services/Web Design & Development,18,61.11%,11,72.22%,3.78,0:06:13,0.00%,0,$0.00
Reference/Humanities/History,18,100.00%,18,61.11%,2.28,0:00:27,0.00%,0,$0.00
Arts & Entertainment/Visual Art & Design/Painting,17,70.59%,12,47.06%,2.71,0:01:02,0.00%,0,$0.00
Home & Garden/Kitchen & Dining/Cookware & Diningware,17,88.24%,15,47.06%,5.12,0:04:17,0.00%,0,$0.00
Reference/Language Resources/Foreign Language Resources/Translation Tools & Resources,17,100.00%,17,64.71%,3.82,0:01:57,0.00%,0,$0.00
Shopping/Gifts & Special Event Items/Flowers,17,82.35%,14,70.59%,2.47,0:02:47,0.00%,0,$0.00
Arts & Entertainment/Humor,16,93.75%,15,62.50%,2.38,0:01:15,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/Urban & Hip-Hop/Reggaeton,16,75.00%,12,75.00%,3,0:00:50,0.00%,0,$0.00
Books & Literature,16,87.50%,14,37.50%,4.62,0:03:01,0.00%,0,$0.00
Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events,16,81.25%,13,43.75%,2.94,0:02:36,0.00%,0,$0.00
Home & Garden/Home Furnishings,16,100.00%,16,68.75%,2.5,0:00:54,0.00%,0,$0.00
Travel/Tourist Destinations/Beaches & Islands,16,75.00%,12,62.50%,3.5,0:01:26,0.00%,0,$0.00
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Talk Shows,15,86.67%,13,53.33%,5.13,0:02:13,0.00%,0,$0.00
Beauty & Fitness/Fitness/Bodybuilding,15,73.33%,11,80.00%,2.4,0:00:31,0.00%,0,$0.00
Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events/Valentine's Day,15,86.67%,13,73.33%,1.73,0:00:21,0.00%,0,$0.00
News/Politics/Campaigns & Elections,15,86.67%,13,53.33%,4.6,0:02:36,0.00%,0,$0.00
Finance/Investing/Currencies & Foreign Exchange,14,92.86%,13,50.00%,3.21,0:02:19,0.00%,0,$0.00
Internet & Telecom/Search Engines,14,85.71%,12,50.00%,6.57,0:05:28,0.00%,0,$0.00
Arts & Entertainment/Visual Art & Design/Architecture,13,69.23%,9,61.54%,5.54,0:02:53,0.00%,0,$0.00
Beauty & Fitness/Fashion & Style/Fashion Designers & Collections,13,69.23%,9,46.15%,3.38,0:00:37,0.00%,0,$0.00
Computers & Electronics/Software/Freeware & Shareware,13,92.31%,12,69.23%,1.92,0:01:27,0.00%,0,$0.00
Jobs & Education/Education/Standardized & Admissions Tests,13,92.31%,12,61.54%,3.08,0:02:10,0.00%,0,$0.00
Arts & Entertainment/Movies/Bollywood & South Asian Film,12,75.00%,9,66.67%,2,0:01:09,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/Dance & Electronic Music,12,66.67%,8,58.33%,5.33,0:01:40,0.00%,0,$0.00
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Comedies,12,83.33%,10,75.00%,1.83,0:00:16,0.00%,0,$0.00
Books & Literature/Writers Resources,12,100.00%,12,58.33%,3.08,0:01:03,0.00%,0,$0.00
Computers & Electronics/Software/Software Utilities,12,91.67%,11,50.00%,3.83,0:03:57,0.00%,0,$0.00
Jobs & Education/Jobs/Career Resources & Planning,12,91.67%,11,41.67%,7.75,0:03:40,0.00%,0,$0.00
Shopping/Apparel/Clothing Accessories/Handbags & Purses,12,91.67%,11,66.67%,3.5,0:01:12,0.00%,0,$0.00
Books & Literature/Poetry,11,100.00%,11,72.73%,2.82,0:00:31,0.00%,0,$0.00
Reference/General Reference/Biographies & Quotations,11,100.00%,11,72.73%,2.64,0:00:37,0.00%,0,$0.00
Reference/Geographic Reference/Maps,11,72.73%,8,54.55%,22.91,0:02:47,0.00%,0,$0.00
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,11,90.91%,10,54.55%,3.18,0:02:03,0.00%,0,$0.00
Science/Chemistry,11,100.00%,11,54.55%,5.45,0:07:01,0.00%,0,$0.00
Jobs & Education/Education/Teaching & Classroom Resources,10,90.00%,9,50.00%,2.7,0:00:35,0.00%,0,$0.00
Shopping/Mass Merchants & Department Stores,10,100.00%,10,80.00%,1.5,0:00:07,0.00%,0,$0.00
