Affinity Category (reach),Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Movie Lovers,482,75.10%,362,59.34%,3.46,0:02:32,0.00%,0,$0.00
Shutterbugs,447,74.50%,333,57.72%,3.58,0:02:49,0.00%,0,$0.00
Shoppers/Shopaholics,432,76.16%,329,56.48%,3.34,0:02:50,0.00%,0,$0.00
News Junkies/Entertainment & Celebrity News Junkies,426,74.88%,319,58.45%,3.43,0:02:41,0.00%,0,$0.00
Technophiles,425,73.88%,314,57.41%,3.56,0:02:58,0.00%,0,$0.00
Home Decor Enthusiasts,412,81.31%,335,59.22%,3.42,0:02:24,0.00%,0,$0.00
TV Lovers,395,73.67%,291,58.23%,3.56,0:02:59,0.00%,0,$0.00
Cooking Enthusiasts/Aspiring Chefs,384,80.73%,310,63.28%,3.27,0:02:05,0.00%,0,$0.00
Beauty Mavens,378,76.98%,291,57.41%,3.43,0:03:01,0.00%,0,$0.00
Travel Buffs,363,73.55%,267,57.58%,3.61,0:02:36,0.00%,0,$0.00
Music Lovers/Pop Music Fans,361,69.53%,251,60.39%,3.5,0:02:53,0.00%,0,$0.00
Family-Focused,344,72.09%,248,59.88%,3.25,0:02:57,0.00%,0,$0.00
Social Media Enthusiasts,316,72.15%,228,62.34%,3.39,0:02:20,0.00%,0,$0.00
Health & Fitness Buffs,315,79.68%,251,61.90%,3.32,0:01:54,0.00%,0,$0.00
Comics & Animation Fans,299,70.23%,210,57.19%,3.24,0:03:05,0.00%,0,$0.00
Mobile Enthusiasts,293,68.60%,201,56.66%,3.71,0:03:16,0.00%,0,$0.00
Cooking Enthusiasts,277,73.65%,204,57.76%,3.55,0:02:48,0.00%,0,$0.00
Sports Fans,275,72.36%,199,60.73%,3.49,0:02:31,0.00%,0,$0.00
Fashionistas,248,78.23%,194,60.89%,3.47,0:02:20,0.00%,0,$0.00
Foodies,235,80.00%,188,59.57%,3.9,0:02:35,0.00%,0,$0.00
Shoppers/Luxury Shoppers,235,66.81%,157,54.47%,3.4,0:03:38,0.00%,0,$0.00
Art & Theater Aficionados,227,74.45%,169,59.03%,3.47,0:02:37,0.00%,0,$0.00
Music Lovers/Rap & Hip Hop Fans,227,64.32%,146,59.03%,3.42,0:03:07,0.00%,0,$0.00
Pet Lovers,227,74.89%,170,63.00%,3.28,0:02:21,0.00%,0,$0.00
Music Lovers/World Music Fans,225,64.89%,146,58.22%,3.63,0:03:37,0.00%,0,$0.00
TV Lovers/TV Drama Fans,217,71.89%,156,58.99%,3.59,0:02:39,0.00%,0,$0.00
"TV Lovers/Game, Reality & Talk Show Fans",212,83.49%,177,58.49%,3.5,0:02:04,0.00%,0,$0.00
News Junkies,205,76.10%,156,54.15%,3.97,0:03:21,0.00%,0,$0.00
News Junkies/Political News Junkies,204,75.98%,155,58.33%,3.84,0:02:11,0.00%,0,$0.00
Auto Enthusiasts,194,76.80%,149,55.67%,3.85,0:02:34,0.00%,0,$0.00
Business Professionals,193,67.88%,131,54.92%,3.71,0:03:49,0.00%,0,$0.00
Music Lovers/Rock Music Fans,189,66.14%,125,56.61%,3.52,0:03:37,0.00%,0,$0.00
Sports Fans/Soccer Fans,189,62.96%,119,52.38%,3.89,0:03:56,0.00%,0,$0.00
Music Lovers,172,84.88%,146,56.98%,3.8,0:02:18,0.00%,0,$0.00
Green Living Enthusiasts,169,88.17%,149,65.09%,3.54,0:01:53,0.00%,0,$0.00
Gamers/Hardcore Gamers,165,70.91%,117,59.39%,3.64,0:03:35,0.00%,0,$0.00
Gamers,161,68.94%,111,55.28%,3.86,0:04:16,0.00%,0,$0.00
Music Lovers/Electronica & Dance Music Fans,148,60.14%,89,57.43%,3.01,0:03:47,0.00%,0,$0.00
Outdoor Enthusiasts,147,81.63%,120,57.14%,4.69,0:02:29,0.00%,0,$0.00
Avid Investors,144,82.64%,119,58.33%,3.44,0:02:18,0.00%,0,$0.00
Do-It-Yourselfers,144,80.56%,116,65.28%,3,0:01:49,0.00%,0,$0.00
Travel Buffs/Beachbound Travelers,141,80.85%,114,59.57%,3.15,0:02:06,0.00%,0,$0.00
Pet Lovers/Dog Lovers,137,81.02%,111,64.23%,3.35,0:01:42,0.00%,0,$0.00
Cooking Enthusiasts/30 Minute Chefs,135,72.59%,98,61.48%,3.9,0:02:50,0.00%,0,$0.00
Music Lovers/Spanish-Language Music Fans,131,60.31%,79,62.60%,4.2,0:03:07,0.00%,0,$0.00
Gamers/Casual & Social Gamers,128,70.31%,90,45.31%,4.23,0:03:49,0.00%,0,$0.00
Shoppers/Bargain Hunters,127,74.02%,94,55.91%,3.63,0:02:53,0.00%,0,$0.00
Movie Lovers/Family Movie Fans,112,75.00%,84,57.14%,4.03,0:03:12,0.00%,0,$0.00
Movie Lovers/Sci-Fi & Fantasy Movie Fans,111,79.28%,88,63.06%,3.19,0:02:22,0.00%,0,$0.00
Movie Lovers/Action & Adventure Movie Fans,106,66.98%,71,62.26%,2.96,0:02:40,0.00%,0,$0.00
TV Lovers/TV Comedy Fans,103,77.67%,80,52.43%,4.17,0:02:40,0.00%,0,$0.00
Music Lovers/Indie & Alternative Rock Fans,90,78.89%,71,57.78%,3.93,0:03:06,0.00%,0,$0.00
Gamers/Roleplaying Game Fans,88,63.64%,56,56.82%,3.82,0:05:02,0.00%,0,$0.00
Nightlife Enthusiasts,88,79.55%,70,57.95%,3.98,0:02:02,0.00%,0,$0.00
Pet Lovers/Cat Lovers,87,62.07%,54,60.92%,3.38,0:02:55,0.00%,0,$0.00
News Junkies/Business & Economic News Junkies,82,81.71%,67,59.76%,4.09,0:02:18,0.00%,0,$0.00
News Junkies/Local News Junkies,79,79.75%,63,53.16%,3.65,0:02:21,0.00%,0,$0.00
Travel Buffs/Family Vacationers,79,86.08%,68,55.70%,4.08,0:02:43,0.00%,0,$0.00
Travel Buffs/Luxury Travelers,77,77.92%,60,59.74%,3.68,0:02:37,0.00%,0,$0.00
Sports Fans/Basketball Fans,63,71.43%,45,57.14%,3.43,0:01:35,0.00%,0,$0.00
Sports Fans/American Football Fans,62,62.90%,39,56.45%,3.81,0:02:17,0.00%,0,$0.00
Movie Lovers/Comedy Movie Fans,61,81.97%,50,62.30%,3.75,0:03:25,0.00%,0,$0.00
Music Lovers/Classical Music Enthusiasts,59,55.93%,33,59.32%,2.97,0:02:54,0.00%,0,$0.00
Sports Fans/Fight & Wrestling Fans,55,72.73%,40,69.09%,3.56,0:02:15,0.00%,0,$0.00
Auto Enthusiasts/Performance & Luxury Vehicle Enthusiasts,54,72.22%,39,51.85%,4.09,0:03:05,0.00%,0,$0.00
TV Lovers/Sci-Fi & Fantasy TV Fans,54,77.78%,42,59.26%,4.19,0:01:46,0.00%,0,$0.00
Movie Lovers/Romance & Drama Movie Fans,49,79.59%,39,63.27%,3.06,0:01:49,0.00%,0,$0.00
Movie Lovers/South Asian Film Fans,49,83.67%,41,65.31%,3.22,0:01:49,0.00%,0,$0.00
Music Lovers/Country Music Fans,49,81.63%,40,61.22%,3.16,0:01:46,0.00%,0,$0.00
Gamers/Adventure & Strategy Game Fans,48,79.17%,38,56.25%,4.21,0:03:19,0.00%,0,$0.00
News Junkies/World News Junkies,45,31.11%,14,46.67%,3.69,0:06:17,0.00%,0,$0.00
Movie Lovers/Horror Movie Fans,44,56.82%,25,56.82%,3.43,0:03:24,0.00%,0,$0.00
Thrill Seekers,44,70.45%,31,56.82%,3.91,0:02:18,0.00%,0,$0.00
TV Lovers/Family Television Fans,43,74.42%,32,76.74%,1.65,0:00:51,0.00%,0,$0.00
Gamers/Shooter Game Fans,40,92.50%,37,55.00%,3.3,0:02:16,0.00%,0,$0.00
Fast Food Cravers,39,89.74%,35,69.23%,3.08,0:00:51,0.00%,0,$0.00
Music Lovers/Jazz Enthusiasts,38,52.63%,20,71.05%,2.95,0:02:27,0.00%,0,$0.00
Music Lovers/Metalheads,33,42.42%,14,42.42%,2.94,0:07:11,0.00%,0,$0.00
Sports Fans/Baseball Fans,33,72.73%,24,60.61%,3.33,0:01:31,0.00%,0,$0.00
Sports Fans/Running Enthusiasts,33,78.79%,26,63.64%,3.36,0:02:09,0.00%,0,$0.00
Auto Enthusiasts/Motorcycle Enthusiasts,32,75.00%,24,46.88%,5.44,0:03:51,0.00%,0,$0.00
Shoppers/Value Shoppers,30,73.33%,22,50.00%,4.73,0:02:16,0.00%,0,$0.00
Gamers/Action Game Fans,29,82.76%,24,55.17%,3.17,0:02:49,0.00%,0,$0.00
Music Lovers/Folk & Traditional Music Enthusiasts,28,89.29%,25,64.29%,3.39,0:02:38,0.00%,0,$0.00
News Junkies/Women's Media Fans,26,84.62%,22,50.00%,3.96,0:01:44,0.00%,0,$0.00
Sports Fans/Hockey Fans,25,72.00%,18,48.00%,4.28,0:01:22,0.00%,0,$0.00
Auto Enthusiasts/Truck & SUV Enthusiasts,24,66.67%,16,54.17%,3.92,0:03:36,0.00%,0,$0.00
Sports Fans/Boating & Sailing Enthusiasts,24,83.33%,20,66.67%,3.67,0:01:57,0.00%,0,$0.00
Travel Buffs/Snowbound Travelers,24,91.67%,22,50.00%,5.17,0:02:33,0.00%,0,$0.00
Sports Fans/Motor Sports Enthusiasts,21,71.43%,15,61.90%,3.38,0:02:14,0.00%,0,$0.00
Sports Fans/Winter Sports Enthusiasts,20,95.00%,19,50.00%,4.85,0:01:38,0.00%,0,$0.00
Sports Fans/Cycling Enthusiasts,18,94.44%,17,50.00%,5.56,0:02:45,0.00%,0,$0.00
Sports Fans/Water Sports Enthusiasts,17,94.12%,16,47.06%,4,0:03:21,0.00%,0,$0.00
Sports Fans/Golf Enthusiasts,15,86.67%,13,40.00%,4.53,0:01:13,0.00%,0,$0.00
Sports Fans/Skiing Enthusiasts,14,92.86%,13,42.86%,5.64,0:01:46,0.00%,0,$0.00
