Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
United States,250,78.00%,195,54.80%,3.42,0:02:09,0.00%,0,$0.00
Germany,125,86.40%,108,64.80%,3.41,0:02:15,0.00%,0,$0.00
Vietnam,89,41.57%,37,59.55%,3.36,0:04:39,0.00%,0,$0.00
Brazil,50,96.00%,48,76.00%,1.94,0:00:49,0.00%,0,$0.00
Mexico,50,86.00%,43,76.00%,2.02,0:00:26,0.00%,0,$0.00
India,49,77.55%,38,61.22%,2.98,0:05:06,0.00%,0,$0.00
Spain,41,85.37%,35,70.73%,2.61,0:02:50,0.00%,0,$0.00
Malaysia,36,66.67%,24,72.22%,1.61,0:01:18,0.00%,0,$0.00
Italy,30,96.67%,29,60.00%,3.23,0:01:46,0.00%,0,$0.00
United Kingdom,28,100.00%,28,67.86%,1.54,0:02:15,0.00%,0,$0.00
France,25,84.00%,21,56.00%,3.8,0:02:22,0.00%,0,$0.00
Switzerland,22,95.45%,21,81.82%,5.45,0:01:31,0.00%,0,$0.00
Australia,18,83.33%,15,72.22%,4.28,0:02:15,0.00%,0,$0.00
China,16,43.75%,7,43.75%,3.19,0:09:09,0.00%,0,$0.00
Chile,14,85.71%,12,64.29%,1.5,0:00:25,0.00%,0,$0.00
Colombia,14,78.57%,11,92.86%,1.07,0:00:01,0.00%,0,$0.00
Netherlands,14,78.57%,11,35.71%,9.79,0:08:09,0.00%,0,$0.00
Canada,13,69.23%,9,61.54%,3.23,0:03:43,0.00%,0,$0.00
Israel,13,84.62%,11,30.77%,6.38,0:02:55,0.00%,0,$0.00
Peru,13,92.31%,12,76.92%,3.08,0:03:17,0.00%,0,$0.00
Bulgaria,12,33.33%,4,41.67%,5.17,0:04:57,0.00%,0,$0.00
Russia,11,81.82%,9,63.64%,4.55,0:00:58,0.00%,0,$0.00
Portugal,10,90.00%,9,60.00%,1.8,0:00:15,0.00%,0,$0.00
Austria,9,100.00%,9,77.78%,2.11,0:00:17,0.00%,0,$0.00
Taiwan,9,88.89%,8,77.78%,1.44,0:00:17,0.00%,0,$0.00
Argentina,8,75.00%,6,62.50%,1.62,0:00:19,0.00%,0,$0.00
Philippines,8,87.50%,7,50.00%,5.88,0:03:53,0.00%,0,$0.00
Serbia,7,57.14%,4,42.86%,6.14,0:06:25,0.00%,0,$0.00
Ukraine,7,85.71%,6,57.14%,2.29,0:02:28,0.00%,0,$0.00
Belgium,6,100.00%,6,33.33%,2.67,0:00:56,0.00%,0,$0.00
Hong Kong,6,83.33%,5,33.33%,3,0:01:13,0.00%,0,$0.00
Hungary,6,100.00%,6,66.67%,2.67,0:01:45,0.00%,0,$0.00
Romania,6,100.00%,6,66.67%,2.5,0:00:33,0.00%,0,$0.00
Sweden,6,83.33%,5,50.00%,2.33,0:02:31,0.00%,0,$0.00
Turkey,6,100.00%,6,83.33%,9,0:05:17,0.00%,0,$0.00
Greece,5,60.00%,3,60.00%,1.6,0:00:21,0.00%,0,$0.00
Croatia,5,40.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00
Japan,5,60.00%,3,60.00%,2.6,0:00:58,0.00%,0,$0.00
Singapore,5,80.00%,4,80.00%,1.6,0:00:09,0.00%,0,$0.00
Bolivia,4,75.00%,3,75.00%,1.5,0:01:27,0.00%,0,$0.00
Belarus,4,50.00%,2,50.00%,22.25,0:20:53,0.00%,0,$0.00
Panama,4,75.00%,3,75.00%,1.75,0:00:07,0.00%,0,$0.00
Saudi Arabia,4,100.00%,4,75.00%,1.75,0:00:46,0.00%,0,$0.00
South Africa,4,75.00%,3,50.00%,75.5,0:29:02,0.00%,0,$0.00
Ecuador,3,66.67%,2,66.67%,4.67,0:01:32,0.00%,0,$0.00
Finland,3,100.00%,3,100.00%,1,0:00:00,0.00%,0,$0.00
Ireland,3,100.00%,3,33.33%,18.33,0:20:00,0.00%,0,$0.00
Pakistan,3,66.67%,2,100.00%,1,0:00:00,0.00%,0,$0.00
Poland,3,66.67%,2,100.00%,1,0:00:00,0.00%,0,$0.00
Paraguay,3,66.67%,2,66.67%,1.33,0:00:50,0.00%,0,$0.00
