Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
United States,238,81.09%,193,62.18%,2.94,0:01:37,0.00%,0,$0.00
Germany,150,86.67%,130,64.67%,2.79,0:01:26,0.00%,0,$0.00
Vietnam,129,44.19%,57,54.26%,3.56,0:03:40,0.00%,0,$0.00
India,47,89.36%,42,63.83%,2.47,0:01:53,0.00%,0,$0.00
Brazil,43,95.35%,41,79.07%,1.63,0:00:29,0.00%,0,$0.00
Mexico,41,97.56%,40,70.73%,2.78,0:03:29,0.00%,0,$0.00
France,35,85.71%,30,57.14%,3.69,0:01:55,0.00%,0,$0.00
Spain,33,90.91%,30,66.67%,2,0:00:57,0.00%,0,$0.00
United Kingdom,29,86.21%,25,55.17%,4.34,0:02:42,0.00%,0,$0.00
Italy,22,86.36%,19,72.73%,4.91,0:02:05,0.00%,0,$0.00
Colombia,21,95.24%,20,80.95%,1.38,0:00:15,0.00%,0,$0.00
Austria,20,85.00%,17,45.00%,8.1,0:07:21,0.00%,0,$0.00
Australia,17,88.24%,15,58.82%,3.12,0:03:51,0.00%,0,$0.00
Canada,17,94.12%,16,52.94%,3.29,0:02:25,0.00%,0,$0.00
Switzerland,15,86.67%,13,66.67%,3.13,0:01:11,0.00%,0,$0.00
Peru,15,100.00%,15,66.67%,2.8,0:02:30,0.00%,0,$0.00
Taiwan,15,80.00%,12,66.67%,1.6,0:00:18,0.00%,0,$0.00
Malaysia,13,92.31%,12,46.15%,2.62,0:01:02,0.00%,0,$0.00
Netherlands,13,76.92%,10,69.23%,4.31,0:02:32,0.00%,0,$0.00
Philippines,13,61.54%,8,38.46%,4.38,0:08:42,0.00%,0,$0.00
Poland,13,61.54%,8,76.92%,2.23,0:00:34,0.00%,0,$0.00
Chile,12,83.33%,10,50.00%,5.08,0:01:39,0.00%,0,$0.00
Portugal,12,83.33%,10,66.67%,1.92,0:02:49,0.00%,0,$0.00
Russia,12,91.67%,11,75.00%,7.17,0:03:36,0.00%,0,$0.00
Ukraine,11,54.55%,6,72.73%,1.55,0:00:12,0.00%,0,$0.00
China,10,60.00%,6,30.00%,3.9,0:02:39,0.00%,0,$0.00
Argentina,9,100.00%,9,100.00%,1,0:00:00,0.00%,0,$0.00
Belarus,9,33.33%,3,22.22%,3,0:03:31,0.00%,0,$0.00
Serbia,9,77.78%,7,66.67%,4.44,0:06:23,0.00%,0,$0.00
Belgium,8,100.00%,8,62.50%,3.88,0:01:00,0.00%,0,$0.00
Greece,7,85.71%,6,42.86%,3.14,0:02:46,0.00%,0,$0.00
Indonesia,7,71.43%,5,57.14%,2,0:01:09,0.00%,0,$0.00
Guatemala,6,100.00%,6,83.33%,1.17,0:00:03,0.00%,0,$0.00
Hungary,6,83.33%,5,83.33%,1.33,0:00:04,0.00%,0,$0.00
Czechia,5,100.00%,5,20.00%,7,0:02:31,0.00%,0,$0.00
Ecuador,5,100.00%,5,100.00%,1,0:00:00,0.00%,0,$0.00
Saudi Arabia,5,80.00%,4,60.00%,2.4,0:00:35,0.00%,0,$0.00
Turkey,5,100.00%,5,60.00%,1.8,0:00:07,0.00%,0,$0.00
United Arab Emirates,4,100.00%,4,100.00%,1,0:00:00,0.00%,0,$0.00
Hong Kong,4,75.00%,3,75.00%,1.75,0:00:13,0.00%,0,$0.00
Kuwait,4,25.00%,1,50.00%,2.5,0:00:29,0.00%,0,$0.00
Egypt,3,66.67%,2,33.33%,4,0:07:13,0.00%,0,$0.00
Israel,3,100.00%,3,33.33%,1.67,0:00:12,0.00%,0,$0.00
Lithuania,3,66.67%,2,0.00%,9.33,0:02:56,0.00%,0,$0.00
Norway,3,66.67%,2,66.67%,3,0:00:45,0.00%,0,$0.00
Puerto Rico,3,66.67%,2,33.33%,11.33,0:02:35,0.00%,0,$0.00
Romania,3,100.00%,3,33.33%,2.33,0:00:31,0.00%,0,$0.00
Thailand,3,100.00%,3,100.00%,1,0:00:00,0.00%,0,$0.00
South Africa,3,100.00%,3,33.33%,6.33,0:01:02,0.00%,0,$0.00
Bulgaria,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00
Bolivia,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00
Costa Rica,2,100.00%,2,50.00%,2,0:00:23,0.00%,0,$0.00
