Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
United States,297,84.51%,251,59.26%,3.22,0:01:37,0.00%,0,$0.00
Germany,140,92.86%,130,65.00%,2.92,0:01:22,0.00%,0,$0.00
Vietnam,123,34.96%,43,45.53%,3.21,0:05:06,0.00%,0,$0.00
Brazil,59,93.22%,55,79.66%,1.71,0:01:10,0.00%,0,$0.00
Spain,56,89.29%,50,67.86%,2.05,0:01:10,0.00%,0,$0.00
Mexico,50,88.00%,44,66.00%,2.42,0:00:36,0.00%,0,$0.00
United Kingdom,42,90.48%,38,66.67%,2.93,0:01:14,0.00%,0,$0.00
India,42,90.48%,38,76.19%,1.81,0:00:53,0.00%,0,$0.00
France,28,89.29%,25,50.00%,4.75,0:02:08,0.00%,0,$0.00
Colombia,25,76.00%,19,64.00%,4.76,0:01:48,0.00%,0,$0.00
Malaysia,25,72.00%,18,60.00%,4,0:04:48,0.00%,0,$0.00
Peru,18,94.44%,17,72.22%,3.78,0:04:28,0.00%,0,$0.00
Australia,17,82.35%,14,47.06%,5.41,0:05:07,0.00%,0,$0.00
Netherlands,17,94.12%,16,58.82%,3.24,0:02:56,0.00%,0,$0.00
Canada,14,92.86%,13,85.71%,1.36,0:00:08,0.00%,0,$0.00
Italy,14,78.57%,11,78.57%,18.29,0:02:17,0.00%,0,$0.00
Ecuador,13,69.23%,9,53.85%,2.54,0:04:17,0.00%,0,$0.00
Portugal,13,92.31%,12,46.15%,4.77,0:03:38,0.00%,0,$0.00
China,12,50.00%,6,41.67%,2.67,0:00:56,0.00%,0,$0.00
Austria,11,81.82%,9,63.64%,3.27,0:04:32,0.00%,0,$0.00
Croatia,11,0.00%,0,100.00%,1,0:00:00,0.00%,0,$0.00
Singapore,11,81.82%,9,72.73%,1.55,0:02:11,0.00%,0,$0.00
Belgium,9,88.89%,8,44.44%,4.44,0:02:11,0.00%,0,$0.00
Switzerland,9,100.00%,9,100.00%,1,0:00:00,0.00%,0,$0.00
Hong Kong,9,66.67%,6,88.89%,4.89,0:01:29,0.00%,0,$0.00
Taiwan,9,100.00%,9,66.67%,6.67,0:06:28,0.00%,0,$0.00
Chile,8,87.50%,7,62.50%,1.38,0:00:15,0.00%,0,$0.00
Philippines,8,100.00%,8,62.50%,1.5,0:00:07,0.00%,0,$0.00
Czechia,7,71.43%,5,85.71%,1.71,0:00:14,0.00%,0,$0.00
Greece,7,85.71%,6,57.14%,3.86,0:02:06,0.00%,0,$0.00
Thailand,7,85.71%,6,57.14%,4.71,0:01:45,0.00%,0,$0.00
Israel,6,66.67%,4,50.00%,6,0:05:09,0.00%,0,$0.00
Norway,6,66.67%,4,33.33%,3.17,0:04:21,0.00%,0,$0.00
Poland,6,83.33%,5,66.67%,2,0:00:21,0.00%,0,$0.00
Puerto Rico,6,50.00%,3,100.00%,1,0:00:00,0.00%,0,$0.00
Serbia,6,66.67%,4,66.67%,2,0:02:26,0.00%,0,$0.00
