Language,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
en-us,445,74.16%,330,55.73%,4.09,0:02:52,0.00%,0,$0.00
de-de,109,87.16%,95,66.06%,3.37,0:01:27,0.00%,0,$0.00
en-gb,53,75.47%,40,56.60%,2.3,0:04:22,0.00%,0,$0.00
pt-br,48,97.92%,47,77.08%,1.77,0:00:47,0.00%,0,$0.00
es,47,80.85%,38,65.96%,2.85,0:02:45,0.00%,0,$0.00
es-es,33,87.88%,29,81.82%,1.33,0:00:33,0.00%,0,$0.00
de,29,86.21%,25,55.17%,6.24,0:04:58,0.00%,0,$0.00
vi,29,37.93%,11,62.07%,2.07,0:03:11,0.00%,0,$0.00
ru,25,44.00%,11,52.00%,6.52,0:05:55,0.00%,0,$0.00
es-419,23,65.22%,15,78.26%,1.39,0:00:21,0.00%,0,$0.00
zh-cn,21,47.62%,10,57.14%,2.67,0:06:58,0.00%,0,$0.00
es-us,20,90.00%,18,90.00%,1.25,0:00:05,0.00%,0,$0.00
it-it,19,94.74%,18,63.16%,2.11,0:02:03,0.00%,0,$0.00
fr,18,88.89%,16,44.44%,5.22,0:05:00,0.00%,0,$0.00
de-ch,13,92.31%,12,84.62%,1.31,0:00:13,0.00%,0,$0.00
es-mx,13,92.31%,12,69.23%,2.23,0:00:27,0.00%,0,$0.00
vi-vn,13,84.62%,11,69.23%,4.62,0:04:31,0.00%,0,$0.00
nl-nl,12,83.33%,10,41.67%,10.75,0:09:22,0.00%,0,$0.00
es-xl,10,90.00%,9,60.00%,5,0:01:13,0.00%,0,$0.00
pt-pt,10,90.00%,9,60.00%,1.8,0:00:15,0.00%,0,$0.00
zh-tw,10,90.00%,9,80.00%,1.4,0:00:16,0.00%,0,$0.00
fr-fr,9,88.89%,8,77.78%,2,0:00:34,0.00%,0,$0.00
ru-ru,9,100.00%,9,66.67%,2.67,0:00:54,0.00%,0,$0.00
he,7,85.71%,6,28.57%,9.43,0:04:50,0.00%,0,$0.00
it,7,100.00%,7,57.14%,7.14,0:01:24,0.00%,0,$0.00
en-au,6,83.33%,5,83.33%,8.33,0:05:14,0.00%,0,$0.00
en-in,6,100.00%,6,100.00%,1,0:00:00,0.00%,0,$0.00
de-at,5,100.00%,5,100.00%,1,0:00:00,0.00%,0,$0.00
el,4,50.00%,2,50.00%,1.75,0:00:27,0.00%,0,$0.00
nl,4,100.00%,4,25.00%,2.75,0:00:34,0.00%,0,$0.00
fr-ca,3,66.67%,2,33.33%,3.67,0:09:51,0.00%,0,$0.00
he-il,3,100.00%,3,100.00%,1,0:00:00,0.00%,0,$0.00
hr,3,0.00%,0,100.00%,1,0:00:00,0.00%,0,$0.00
hu-hu,3,100.00%,3,100.00%,1,0:00:00,0.00%,0,$0.00
ro-ro,3,100.00%,3,66.67%,2.67,0:00:32,0.00%,0,$0.00
tr,3,100.00%,3,66.67%,17,0:10:34,0.00%,0,$0.00
tr-tr,3,100.00%,3,100.00%,1,0:00:00,0.00%,0,$0.00
ar,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00
ca-es,2,100.00%,2,50.00%,2,0:00:42,0.00%,0,$0.00
da-dk,2,100.00%,2,50.00%,1.5,0:00:04,0.00%,0,$0.00
en,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00
es-pe,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00
fi-fi,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00
