Language,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
en-us,419,74.94%,314,58.47%,3.51,0:02:10,0.00%,0,$0.00
de-de,114,89.47%,102,64.91%,2.58,0:01:29,0.00%,0,$0.00
en-gb,68,80.88%,55,63.24%,2.69,0:01:51,0.00%,0,$0.00
vi,45,35.56%,16,51.11%,4.47,0:06:53,0.00%,0,$0.00
es-es,43,93.02%,40,79.07%,1.65,0:00:42,0.00%,0,$0.00
es,41,92.68%,38,65.85%,2.44,0:01:56,0.00%,0,$0.00
pt-br,41,95.12%,39,80.49%,1.54,0:00:25,0.00%,0,$0.00
de,36,80.56%,29,58.33%,3.31,0:01:26,0.00%,0,$0.00
es-us,29,96.55%,28,79.31%,1.45,0:00:12,0.00%,0,$0.00
es-419,23,91.30%,21,69.57%,4.17,0:02:37,0.00%,0,$0.00
fr,22,90.91%,20,45.45%,5.18,0:02:57,0.00%,0,$0.00
fr-fr,22,86.36%,19,63.64%,2.55,0:00:42,0.00%,0,$0.00
vi-vn,21,95.24%,20,71.43%,1.76,0:01:06,0.00%,0,$0.00
it-it,16,81.25%,13,75.00%,5.38,0:02:30,0.00%,0,$0.00
de-at,15,80.00%,12,53.33%,8.73,0:08:50,0.00%,0,$0.00
ru,15,73.33%,11,46.67%,4.73,0:03:59,0.00%,0,$0.00
zh-tw,15,80.00%,12,66.67%,1.6,0:00:18,0.00%,0,$0.00
pt-pt,14,85.71%,12,71.43%,1.79,0:02:25,0.00%,0,$0.00
ru-ru,12,75.00%,9,66.67%,4.25,0:01:20,0.00%,0,$0.00
zh-cn,12,66.67%,8,25.00%,3.67,0:02:38,0.00%,0,$0.00
de-ch,11,90.91%,10,81.82%,1.82,0:00:20,0.00%,0,$0.00
es-xl,11,100.00%,11,81.82%,1.55,0:00:08,0.00%,0,$0.00
it,6,100.00%,6,66.67%,3.67,0:00:59,0.00%,0,$0.00
ar,5,60.00%,3,80.00%,1.2,<00:00:01,0.00%,0,$0.00
en-in,5,100.00%,5,60.00%,1.6,0:00:10,0.00%,0,$0.00
nl,5,100.00%,5,20.00%,8.4,0:02:36,0.00%,0,$0.00
pl,5,80.00%,4,40.00%,4.2,0:01:28,0.00%,0,$0.00
uk,5,0.00%,0,80.00%,1.6,0:00:16,0.00%,0,$0.00
el,4,75.00%,3,50.00%,3,0:02:50,0.00%,0,$0.00
en-ca,4,100.00%,4,50.00%,2,0:00:35,0.00%,0,$0.00
es-mx,4,75.00%,3,50.00%,4.25,0:15:18,0.00%,0,$0.00
hu-hu,4,100.00%,4,75.00%,1.5,0:00:06,0.00%,0,$0.00
nl-nl,4,50.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00
pl-pl,4,100.00%,4,100.00%,1,0:00:00,0.00%,0,$0.00
cs-cz,3,100.00%,3,33.33%,9,0:03:24,0.00%,0,$0.00
en,3,66.67%,2,0.00%,4,0:05:38,0.00%,0,$0.00
en-au,3,100.00%,3,66.67%,1.67,0:00:18,0.00%,0,$0.00
en-sg,3,66.67%,2,0.00%,5,0:01:48,0.00%,0,$0.00
sr-rs,3,66.67%,2,100.00%,1,0:00:00,0.00%,0,$0.00
tr-tr,3,100.00%,3,66.67%,1.67,0:00:05,0.00%,0,$0.00
bg,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00
en-za,2,100.00%,2,0.00%,9,0:01:33,0.00%,0,$0.00
