Language,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
en-us,498,73.90%,368,57.83%,3.15,0:02:17,0.00%,0,$0.00
de-de,107,92.52%,99,66.36%,2.79,0:01:19,0.00%,0,$0.00
en-gb,63,85.71%,54,68.25%,3.02,0:01:46,0.00%,0,$0.00
es,57,82.46%,47,54.39%,3.81,0:02:10,0.00%,0,$0.00
pt-br,57,92.98%,53,80.70%,1.72,0:01:11,0.00%,0,$0.00
es-es,50,90.00%,45,72.00%,2.28,0:01:27,0.00%,0,$0.00
de,42,97.62%,41,64.29%,3.29,0:01:24,0.00%,0,$0.00
vi,31,29.03%,9,32.26%,3.35,0:08:03,0.00%,0,$0.00
es-419,28,85.71%,24,67.86%,4,0:02:25,0.00%,0,$0.00
es-us,27,88.89%,24,74.07%,1.41,0:00:08,0.00%,0,$0.00
vi-vn,20,95.00%,19,65.00%,2.05,0:01:17,0.00%,0,$0.00
fr-fr,17,88.24%,15,64.71%,4.41,0:01:43,0.00%,0,$0.00
fr,16,93.75%,15,43.75%,4.56,0:02:12,0.00%,0,$0.00
zh-tw,16,87.50%,14,75.00%,6.38,0:04:28,0.00%,0,$0.00
zh-cn,14,57.14%,8,57.14%,2.36,0:00:45,0.00%,0,$0.00
pt-pt,13,92.31%,12,46.15%,4.69,0:03:34,0.00%,0,$0.00
hr,11,0.00%,0,100.00%,1,0:00:00,0.00%,0,$0.00
nl-nl,11,100.00%,11,54.55%,2.73,0:00:48,0.00%,0,$0.00
it-it,10,90.00%,9,70.00%,25.2,0:03:12,0.00%,0,$0.00
de-at,9,77.78%,7,55.56%,3.78,0:05:32,0.00%,0,$0.00
es-mx,9,88.89%,8,66.67%,5.11,0:01:56,0.00%,0,$0.00
es-xl,9,100.00%,9,88.89%,1.11,0:00:01,0.00%,0,$0.00
ru,9,88.89%,8,44.44%,2.56,0:01:46,0.00%,0,$0.00
en-au,8,100.00%,8,37.50%,5.5,0:03:51,0.00%,0,$0.00
en-in,7,100.00%,7,100.00%,1,0:00:00,0.00%,0,$0.00
ar,5,80.00%,4,80.00%,2,0:00:11,0.00%,0,$0.00
en-ca,5,100.00%,5,100.00%,1,0:00:00,0.00%,0,$0.00
nl,5,80.00%,4,60.00%,4.8,0:08:15,0.00%,0,$0.00
pl-pl,5,80.00%,4,80.00%,1.4,0:00:04,0.00%,0,$0.00
bg,4,100.00%,4,50.00%,2.25,0:00:24,0.00%,0,$0.00
ca-es,4,100.00%,4,50.00%,3,0:05:10,0.00%,0,$0.00
cs,4,50.00%,2,75.00%,2.25,0:00:24,0.00%,0,$0.00
da-dk,4,50.00%,2,75.00%,1.25,0:00:07,0.00%,0,$0.00
el,4,75.00%,3,75.00%,1.25,0:00:13,0.00%,0,$0.00
en-sg,4,75.00%,3,50.00%,8.5,0:07:27,0.00%,0,$0.00
it,4,50.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00
nl-be,4,75.00%,3,25.00%,4.75,0:03:17,0.00%,0,$0.00
tr-tr,4,100.00%,4,25.00%,3,0:01:03,0.00%,0,$0.00
de-ch,3,100.00%,3,100.00%,1,0:00:00,0.00%,0,$0.00
nb,3,33.33%,1,33.33%,3,0:07:16,0.00%,0,$0.00
sr,3,66.67%,2,66.67%,1.67,0:01:11,0.00%,0,$0.00
cs-cz,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00
es-ec,2,50.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
fr-be,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00
hu-hu,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00
ko-kr,2,100.00%,2,50.00%,7.5,0:01:25,0.00%,0,$0.00
nb-no,2,100.00%,2,50.00%,2,0:00:24,0.00%,0,$0.00
ro,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00
ru-ru,2,50.00%,1,50.00%,1.5,0:00:10,0.00%,0,$0.00
(not set),1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
da,1,100.00%,1,0.00%,2,0:00:01,0.00%,0,$0.00
en,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
en-za,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
es-ar,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
es-cl,1,100.00%,1,0.00%,2,0:00:39,0.00%,0,$0.00
es-co,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
es-pe,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
fr-ca,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
fr-ch,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
he,1,0.00%,0,100.00%,1,0:00:00,0.00%,0,$0.00
hu,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
id-id,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
ja-jp,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
ko,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
lt,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
lv,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
sr-rs,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
th-th,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
