PubName,Headline,Newsbody
The New York Times, AAR CORP reports earnings for Qtr to Nov 30," *3*** COMPANY REPORTS ** *3*AAR CORP (NYSE) Qtr to Nov 30 1986 1985 Sales 75,907,000 61,040,000 Net inc 3,953,000 2,858,000 Share earns .38 .32 Shares outst 10,479,000 9,069,000 6mo sales 142,283,000 114,876,000 Net inc 7,054,000 5,300,000 Share earns .71 .59 Shares outst 9,932,000 9,066,000 *3*** COMPANY REPORTS ** *3*AAR CORP (NYSE) Qtr to Nov 30 1986 1985 Sales 75,907,000 61,040,000 Net inc 3,953,000 2,858,000 Share earns .38 .32 Shares outst 10,479,000 9,069,000 6mo sales 142,283,000 114,876,000 Net inc 7,054,000 5,300,000 Share earns .71 .59 Shares outst 9,932,000 9,066,000 *3*** COMPANY REPORTS ** *3*AAR CORP (NYSE) Qtr to Nov 30 1986 1985 Sales 75,907,000 61,040,000 Net inc 3,953,000 2,858,000 Share earns .38 .32 Shares outst 10,479,000 9,069,000 6mo sales 142,283,000 114,876,000 Net inc 7,054,000 5,300,000 Share earns .71 .59 Shares outst 9,932,000 9,066,000 The 1985 share earnings and shares outstanding are adjusted for the 3-for- 2 stock split
          in February 1986. The company said the 1986 shares outstanding reflects the pro rata effect of the issuance
          of 1.35 million shares in public offering in August 1986."
The New York Times, AMERICAN CYTOGENETICS reports earnings for Qtr to Oct 31," *3*** COMPANY REPORTS ** *3*AMERICAN CYTOGENETICS (OTC) Qtr to Oct 31 1986 1985 Revenue 1,300,000 1,100,000 Net loss 26,000 b14,463 Share earns - .01 9mo rev 3,850,000 3,000,000 Net inc 30,144 28,545 Share earns .01 .01 b-Net income *3*** COMPANY REPORTS ** *3*AMERICAN CYTOGENETICS (OTC) Qtr to Oct 31 1986 1985 Revenue 1,300,000 1,100,000 Net loss 26,000 b14,463 Share earns - .01 9mo rev 3,850,000 3,000,000 Net inc 30,144 28,545 Share earns .01 .01 b-Net income *3*** COMPANY REPORTS ** *3*AMERICAN CYTOGENETICS (OTC) Qtr to Oct 31 1986 1985 Revenue 1,300,000 1,100,000 Net loss 26,000 b14,463 Share earns - .01 9mo rev 3,850,000 3,000,000 Net inc 30,144 28,545 Share earns .01 .01 b-Net income"
The New York Times, APPLIED POWER reports earnings for Qtr to Nov 30," *3*** COMPANY REPORTS ** *3*APPLIED POWER (OTC) Qtr to Nov 30 1986 1985 Sales 40,591,000 37,109,000 Net inc 1,324,000 636,000 Share earns .80 .36 Shares outst 1,664,826 1,523,317 *3*** COMPANY REPORTS ** *3*APPLIED POWER (OTC) Qtr to Nov 30 1986 1985 Sales 40,591,000 37,109,000 Net inc 1,324,000 636,000 Share earns .80 .36 Shares outst 1,664,826 1,523,317 *3*** COMPANY REPORTS ** *3*APPLIED POWER (OTC) Qtr to Nov 30 1986 1985 Sales 40,591,000 37,109,000 Net inc 1,324,000 636,000 Share earns .80 .36 Shares outst 1,664,826 1,523,317"
The New York Times, BARRETT RESOURCES reports earnings for Year to Sept 30," *3*** COMPANY REPORTS ** *3*BARRETT RESOURCES (OTC) Year to Sept 30 1986 1985 Revenue 4,516,000 2,582,000 Net loss 2,622,000 b121,000 b-Net income and includes an extraordinary tax credit of $27,000. The 1986 figures include the results of Excel Energy Corp. *3*** COMPANY REPORTS ** *3*BARRETT RESOURCES (OTC) Year to Sept 30 1986 1985 Revenue 4,516,000 2,582,000 Net loss 2,622,000 b121,000 b-Net income and includes an extraordinary tax credit of $27,000. The 1986 figures include the results of Excel Energy Corp. *3*** COMPANY REPORTS ** *3*BARRETT RESOURCES (OTC) Year to Sept 30 1986 1985 Revenue 4,516,000 2,582,000 Net loss 2,622,000 b121,000 b-Net income and includes an extraordinary tax credit of $27,000. The 1986 figures include the results of Excel Energy Corp. since Nov. 7, 1985."
The New York Times, CANAVERAL INTERNATIONAL reports earnings for Year to Sept 30," *3*** COMPANY REPORTS ** *3*CANAVERAL INTERNATIONAL (OTC) Year to Sept 30 1986 1985 Revenue 2,592,061 849,858 Net inc 371,285 b638,620 Share earns .12 .19 Shares outst 3,182,122 3,332,176 b-After an extraordinary gain on extinguishment of debt of $862,575. *3*** COMPANY REPORTS ** *3*CANAVERAL INTERNATIONAL (OTC) Year to Sept 30 1986 1985 Revenue 2,592,061 849,858 Net inc 371,285 b638,620 Share earns .12 .19 Shares outst 3,182,122 3,332,176 b-After an extraordinary gain on extinguishment of debt of $862,575. *3*** COMPANY REPORTS ** *3*CANAVERAL INTERNATIONAL (OTC) Year to Sept 30 1986 1985 Revenue 2,592,061 849,858 Net inc 371,285 b638,620 Share earns .12 .19 Shares outst 3,182,122 3,332,176 b-After an extraordinary gain on extinguishment of debt of $862,575."
The New York Times, CERTRON CORP reports earnings for Year to Oct 31," *3*** COMPANY REPORTS ** *3*CERTRON CORP (OTC) Year to Oct 31 1986 1985 Net inc b333,000 c133,000 Share earns .11 - b-Includes a $123,000 charge related to the costs of closing of a manufacturing facility and a tax benefit of $246,000. c-Net loss includes a $553,000 charge related to the costs of closing of a manufacturing facility. *3*** COMPANY REPORTS ** *3*CERTRON CORP (OTC) Year to Oct 31 1986 1985 Net inc b333,000 c133,000 Share earns .11 - b-Includes a $123,000 charge related to the costs of closing of a manufacturing facility and a tax benefit of $246,000. c-Net loss includes a $553,000 charge related to the costs of closing of a manufacturing facility. *3*** COMPANY REPORTS ** *3*CERTRON CORP (OTC) Year to Oct 31 1986 1985 Net inc b333,000 c133,000 Share earns .11 - b-Includes a $123,000 charge related to the costs of closing of a manufacturing facility and a tax benefit of $246,000. c-Net loss includes a $553,000 charge related to the costs of closing of a manufacturing facility."
The New York Times, COMMERCIAL METALS reports earnings for Qtr to Nov 30," *3*** COMPANY REPORTS ** *3*COMMERCIAL METALS (NYSE) Qtr to Nov 30 1986 1985 Revenue 208,254,000 202,338,000 Net inc 1,525,000 3,058,000 Share earns .17 .35 Shares outst 8,948,481 8,837,367 *3*** COMPANY REPORTS ** *3*COMMERCIAL METALS (NYSE) Qtr to Nov 30 1986 1985 Revenue 208,254,000 202,338,000 Net inc 1,525,000 3,058,000 Share earns .17 .35 Shares outst 8,948,481 8,837,367 *3*** COMPANY REPORTS ** *3*COMMERCIAL METALS (NYSE) Qtr to Nov 30 1986 1985 Revenue 208,254,000 202,338,000 Net inc 1,525,000 3,058,000 Share earns .17 .35 Shares outst 8,948,481 8,837,367"
The New York Times, CSP INC reports earnings for Qtr to Nov 30," *3*** COMPANY REPORTS ** *3*CSP INC (OTC) Qtr to Nov 30 1986 1985 Sales 2,523,000 3,998,000 Net inc 199,000 608,000 Share earns .07 .21 *3*** COMPANY REPORTS ** *3*CSP INC (OTC) Qtr to Nov 30 1986 1985 Sales 2,523,000 3,998,000 Net inc 199,000 608,000 Share earns .07 .21 *3*** COMPANY REPORTS ** *3*CSP INC (OTC) Qtr to Nov 30 1986 1985 Sales 2,523,000 3,998,000 Net inc 199,000 608,000 Share earns .07 .21"
The New York Times, DAMSON OIL reports earnings for Qtr to Sept 30," *3*** COMPANY REPORTS ** *3*DAMSON OIL (AMEX) Qtr to Sept 30 1986 1985 Revenue 7,300,000 20,900,000 Net loss 13,800,000 5,300,000 Yr rev 49,400,000 89,000,000 Net loss b74,600,000 1,300,000 b-Includes a pre-tax writedown of about $77.1 million associated primarily with its oil and gas properties and related assets. *3*** COMPANY REPORTS ** *3*DAMSON OIL (AMEX) Qtr to Sept 30 1986 1985 Revenue 7,300,000 20,900,000 Net loss 13,800,000 5,300,000 Yr rev 49,400,000 89,000,000 Net loss b74,600,000 1,300,000 b-Includes a pre-tax writedown of about $77.1 million associated primarily with its oil and gas properties and related assets. *3*** COMPANY REPORTS ** *3*DAMSON OIL (AMEX) Qtr to Sept 30 1986 1985 Revenue 7,300,000 20,900,000 Net loss 13,800,000 5,300,000 Yr rev 49,400,000 89,000,000 Net loss b74,600,000 1,300,000 b-Includes a pre-tax writedown of about $77.1 million associated primarily with its oil and gas properties and related assets."
The New York Times, ELECTRO AUDIO DYNAMICS reports earnings for Qtr to Nov 1," *3*** COMPANY REPORTS ** *3*ELECTRO AUDIO DYNAMICS (AMEX) Qtr to Nov 1 1986 1985 Sales 18,304,000 1,409,000 Net loss 430,000 b685,000 Shares outst 6,102,805 3,709,250 b-After income from discontinued operations of $315,000. The results of operations for the year-ago quarter do not include Action Drug Company which was acquired by Technodyne Inc. *3*** COMPANY REPORTS ** *3*ELECTRO AUDIO DYNAMICS (AMEX) Qtr to Nov 1 1986 1985 Sales 18,304,000 1,409,000 Net loss 430,000 b685,000 Shares outst 6,102,805 3,709,250 b-After income from discontinued operations of $315,000. The results of operations for the year-ago quarter do not include Action Drug Company which was acquired by Technodyne Inc. *3*** COMPANY REPORTS ** *3*ELECTRO AUDIO DYNAMICS (AMEX) Qtr to Nov 1 1986 1985 Sales 18,304,000 1,409,000 Net loss 430,000 b685,000 Shares outst 6,102,805 3,709,250 b-After income from discontinued operations of $315,000. The results of operations for the year-ago quarter do not include Action Drug Company which was acquired by Technodyne Inc. as of Aug. 29, 1986."
